depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.022844 0.376232 0.842266
0.055000 0.225314 0.569168 1.032359
0.105000 0.546627 1.099319 1.709679
0.130000 0.735715 1.330532 1.860115
0.205000 1.445236 2.111590 2.569732
0.230000 1.670748 2.319398 2.861927
0.255000 1.842247 2.507582 3.043260
0.280000 2.031852 2.739243 3.277713
0.305000 2.156092 2.964560 3.532416
0.330000 2.385813 3.180835 3.776349
0.355000 2.567270 3.392052 3.943587
0.380000 2.871221 3.605578 4.184526
0.455000 3.734368 4.286616 4.764684
0.480000 3.918019 4.515055 5.051749
0.505000 4.160452 4.682581 5.127199
0.530000 4.432846 4.867024 5.261223
0.555000 4.613429 5.102710 5.425391
0.580000 4.811295 5.318293 5.642345
0.605000 5.093739 5.531259 5.879198
0.630000 5.334615 5.733483 6.121778
0.655000 5.595681 5.953484 6.288385
0.680000 5.792318 6.169455 6.472501
0.705000 5.953136 6.353830 6.729494
0.730000 6.202013 6.545955 6.983389
0.755000 6.343144 6.781915 7.263349
0.780000 6.590527 6.980576 7.428825
0.805000 6.794683 7.231113 7.618683
0.830000 6.977523 7.470714 7.861584
0.855000 7.187416 7.692975 8.088226
0.880000 7.444022 7.889509 8.317274
0.905000 7.655872 8.157358 8.585245
0.930000 7.886207 8.399837 8.850083
0.955000 8.128205 8.621969 9.037577
0.980000 8.408978 8.886044 9.334785
1.005000 8.601310 9.082988 9.512356
1.055000 9.077539 9.500181 9.917004
1.080000 9.244128 9.737249 10.070252
1.105000 9.509503 9.927127 10.255309
1.130000 9.652511 10.105320 10.487437
1.155000 9.881583 10.296654 10.662543
1.180000 10.107702 10.497854 10.765391
1.205000 10.288613 10.654416 10.952514
1.230000 10.444559 10.799142 11.115037
1.255000 10.542475 10.944819 11.239502
1.280000 10.674565 11.052858 11.340682
1.305000 10.813739 11.163166 11.434434
1.330000 10.867397 11.260136 11.557220
1.355000 10.967722 11.372126 11.688708
1.380000 11.059256 11.493902 11.786977
1.405000 11.216260 11.639573 12.009060
1.430000 11.376409 11.772102 12.107756
1.455000 11.508991 11.892111 12.198224
1.480000 11.707026 12.043508 12.364167
1.505000 11.823308 12.172432 12.493512
1.530000 11.979993 12.290041 12.618614
1.555000 12.134217 12.393589 12.740992
1.580000 12.272396 12.512471 12.823476
1.605000 12.392485 12.649729 12.947985
1.630000 12.523477 12.762463 13.061477
1.655000 12.637401 12.884720 13.151611
1.680000 12.779641 13.043092 13.291997
1.705000 12.892297 13.174155 13.414660
1.730000 12.986578 13.289611 13.558473
1.755000 13.100524 13.400895 13.664738
1.780000 13.207650 13.518249 13.790915
1.805000 13.351198 13.614935 13.855443
1.830000 13.432744 13.717075 13.973277
1.855000 13.555563 13.818773 14.078894
1.880000 13.639162 13.932952 14.174759
1.905000 13.783458 14.015471 14.292227
1.930000 13.878011 14.120097 14.400126
1.955000 13.969833 14.228833 14.495109
1.980000 14.091517 14.338459 14.580448
2.005000 14.169466 14.428736 14.648973
2.055000 14.418225 14.653426 14.883594
2.080000 14.528663 14.755645 14.968288
2.105000 14.633854 14.856905 15.063959
2.155000 14.829188 15.054927 15.236207
2.180000 14.933614 15.145685 15.348823
2.205000 15.031573 15.237482 15.430324
2.230000 15.146952 15.339310 15.544360
2.255000 15.246098 15.444938 15.640012
2.280000 15.330564 15.550336 15.752449
2.305000 15.417016 15.638271 15.829086
2.330000 15.534818 15.745298 15.908626
2.355000 15.619237 15.841868 16.059724
2.405000 15.838641 16.006848 16.216459
2.430000 15.938122 16.090987 16.330534
2.455000 16.004270 16.176275 16.406173
2.480000 16.125025 16.260496 16.510307
2.505000 16.211111 16.358698 16.600391
2.530000 16.284586 16.447672 16.720320
2.555000 16.384154 16.549050 16.787224
2.580000 16.480386 16.655949 16.883610
2.605000 16.567933 16.751406 16.989394
2.630000 16.668253 16.863508 17.061409
2.655000 16.773265 16.969979 17.252719
2.680000 16.868181 17.078472 17.376266
2.705000 16.964600 17.204859 17.482594
2.730000 17.022395 17.327879 17.645179
2.755000 17.131658 17.444145 17.828308
2.780000 17.231514 17.570780 18.005349
2.805000 17.427896 17.721588 18.160500
2.830000 17.575320 17.885964 18.272532
2.855000 17.718276 18.022121 18.377004
2.880000 17.795930 18.177329 18.550128
2.905000 17.926391 18.346591 18.729868
2.930000 18.064260 18.483385 18.923798
2.955000 18.279166 18.635299 19.146820
3.005000 18.641567 18.982426 19.476314
3.055000 18.941857 19.322343 19.817294
3.080000 19.087007 19.506448 20.005012
3.105000 19.252566 19.697631 20.220461
3.130000 19.447577 19.923968 20.385742
3.155000 19.678860 20.112413 20.603161
3.180000 19.872056 20.301149 20.823444
3.205000 20.076619 20.516658 20.968681
3.230000 20.272347 20.744950 21.212241
3.255000 20.464405 20.963529 21.398440
3.280000 20.615090 21.162342 21.679346
3.305000 20.735357 21.379798 21.821299
3.330000 20.962396 21.626238 22.025855
3.355000 21.220510 21.786273 22.199989
3.380000 21.455356 21.985764 22.388959
3.405000 21.699835 22.193235 22.614480
3.430000 21.860930 22.375296 22.820027
3.455000 22.029059 22.550173 23.081515
3.480000 22.224839 22.718849 23.166342
3.505000 22.369191 22.823272 23.351138
3.530000 22.518350 22.962393 23.637981
3.580000 22.704185 23.194769 23.888644
3.605000 22.762906 23.327319 24.011885
3.630000 22.919537 23.455666 24.192072
3.730000 23.447905 23.919793 24.887839
3.755000 23.566953 24.124029 25.063838
3.780000 23.673771 24.269133 25.265335
3.805000 23.883995 24.416424 25.390960
3.830000 24.013838 24.579086 25.516105
3.855000 24.194188 24.685078 25.622777
3.880000 24.265076 24.843093 25.652121
3.905000 24.348936 24.987285 25.784928
3.930000 24.484530 25.136059 25.902205
3.955000 24.609691 25.259244 25.983718
3.980000 24.668621 25.374142 26.129883
4.005000 24.783924 25.493929 26.324921
4.130000 25.271495 25.940255 26.776636
4.180000 25.444542 26.151095 27.004573
4.230000 25.590480 26.362869 27.310958
4.280000 25.927195 26.596304 27.478266
4.330000 26.229279 26.934427 27.709900
4.355000 26.306585 27.015009 27.806639
4.380000 26.435782 27.148374 27.898324
4.405000 26.548647 27.291155 28.008544
4.430000 26.691462 27.464067 28.178507
4.455000 26.887322 27.651108 28.324128
4.480000 27.092528 27.799100 28.512842
4.505000 27.251302 27.904229 28.651032
4.530000 27.346882 28.047854 28.858512
4.555000 27.624562 28.210869 29.026030
4.580000 27.758353 28.405283 29.131881
4.605000 27.871712 28.672763 29.336025
4.630000 28.034669 28.837213 29.526240
4.655000 28.157667 29.039283 29.732695
4.680000 28.222671 29.231353 29.863093
4.705000 28.318348 29.391008 29.973939
4.730000 28.449440 29.558671 30.116133
4.755000 28.584809 29.678837 30.321827
4.780000 28.715502 29.808160 30.429472
4.805000 28.857971 29.989118 30.572490
4.830000 28.979473 30.155186 30.685734
4.855000 29.095492 30.315585 30.814148
4.880000 29.174159 30.497449 30.996774
4.905000 29.305738 30.675787 31.055179
4.930000 29.445894 30.788997 31.161486
4.955000 29.616209 30.938571 31.292930
5.005000 29.760967 31.176370 31.524979
5.030000 29.857593 31.299492 31.652745
5.080000 30.345193 31.518101 31.802684
5.105000 30.471436 31.604113 31.889761
5.155000 30.747253 31.787983 32.193300
5.180000 30.857557 31.901972 32.290678
5.205000 30.941549 32.011656 32.352363
5.230000 31.141425 32.121811 32.443264
5.255000 31.245622 32.242112 32.625051
5.305000 31.565543 32.463162 33.026272
5.330000 31.742805 32.586010 33.190524
5.355000 31.913098 32.735889 33.311122
5.405000 32.235419 32.952476 33.551482
5.430000 32.359543 33.057761 33.638591
5.455000 32.504979 33.224382 33.762388
5.480000 32.686469 33.358029 33.872254
5.505000 32.885358 33.473618 33.998219
5.530000 33.032956 33.615495 34.117826
5.555000 33.260845 33.810997 34.271847
5.580000 33.409810 33.970954 34.454850
5.605000 33.540616 34.157664 34.543882
5.630000 33.712155 34.307680 34.706569
5.655000 33.989879 34.455259 34.870582
5.680000 34.154265 34.589446 34.987619
5.705000 34.303453 34.718013 35.084065
5.730000 34.421769 34.877224 35.256504
5.755000 34.549299 35.021105 35.381169
5.780000 34.803770 35.166583 35.615759
5.805000 35.019400 35.319130 35.750990
5.830000 35.170911 35.493038 35.885863
5.855000 35.342383 35.685766 36.027679
5.880000 35.578156 35.910093 36.239676
5.905000 35.805607 36.113897 36.425777
5.930000 35.991864 36.304061 36.674201
5.955000 36.142910 36.516400 36.838809
5.980000 36.299469 36.726491 37.048460
6.005000 36.555608 36.893836 37.268138
6.030000 36.720780 37.078308 37.584663
6.055000 36.944184 37.273116 37.746112
6.080000 37.131739 37.462670 37.927650
6.105000 37.339225 37.652837 38.081680
6.130000 37.525657 37.847711 38.322609
6.155000 37.654627 38.035876 38.491318
6.205000 37.953168 38.503950 38.846272
6.230000 38.117987 38.687238 39.105120
6.255000 38.265606 38.881559 39.332597
6.280000 38.558447 39.053390 39.522272
6.305000 38.724677 39.213269 39.713433
6.330000 38.856762 39.358260 39.875177
6.355000 39.136790 39.527169 40.033752
6.405000 39.389982 39.791142 40.444181
6.455000 39.535459 40.056310 40.755651
6.480000 39.642636 40.213959 41.031888
6.505000 39.784443 40.373977 41.124667
6.530000 39.913436 40.522235 41.274245
6.555000 40.024102 40.686400 41.406075
6.580000 40.236066 40.827543 41.782781
6.605000 40.347558 40.976477 41.875091
6.630000 40.517892 41.102731 41.963224
6.655000 40.626927 41.274071 42.128532
6.680000 40.837441 41.428340 42.224319
6.705000 41.024685 41.586647 42.291136
6.730000 41.193783 41.774848 42.405462
6.755000 41.314173 41.905480 42.494267
6.780000 41.419986 42.079427 42.607242
6.805000 41.516937 42.219532 42.732584
6.830000 41.616845 42.362877 42.848307
6.855000 41.742604 42.467448 42.956845
6.880000 41.903722 42.598971 43.087366
6.905000 42.062684 42.726404 43.228180
6.930000 42.209357 42.898257 43.364235
6.955000 42.368525 43.062230 43.497720
6.980000 42.490544 43.212374 43.635262
7.005000 42.654172 43.344866 43.796469
7.030000 42.830997 43.470326 43.882190
7.055000 42.906479 43.599568 43.998791
7.080000 43.007015 43.687300 44.097974
7.105000 43.171215 43.834186 44.229833
7.130000 43.332432 43.932658 44.346452
7.155000 43.513355 44.098012 44.545618
7.180000 43.580671 44.217998 44.695934
