depth	age	error	dR	dSTD	cc
0.015	0.723	0.038	0	0.2	2
0.235	1.573	0.038	0	0.2	2
0.465	3.544	0.038	0	0.2	2
0.645	3.95	0.06	0	0.2	2
0.935	8.139	0.037	0	0.2	2
1.095	10.388	0.042	0	0.2	2
1.145	10.624	0.039	0	0.2	2
1.215	10.83	0.05	0	0.2	2
1.255	10.91	0.05	0	0.2	2
1.315	11.15	0.05	0	0.2	2
1.545	12.96	0.11	0	0.2	2
1.625	13.13	0.041	0	0.2	2
1.73	13.89	0.13	0	0.2	2
1.865	13.92	0.11	0	0.2	2
2.015	14.204	0.043	0	0.2	2
2.265	15.05	0.14	0	0.2	2
2.315	15.127	0.044	0	0.2	2
2.405	15.462	0.048	0	0.2	2
2.465	16.18	0.12	0	0.2	2
2.565	16.21	0.047	0	0.2	2
2.785	17.78	0.14	0	0.2	2
2.865	17.504	0.049	0	0.2	2
3.065	18.491	0.053	0	0.2	2
3.145	19.17	0.15	0	0.2	2
3.465	21.16	0.19	0	0.2	2
3.465	21.07	0.18	0	0.2	2
3.705	22.7	0.22	0	0.2	2
3.905	24.48	0.22	0	0.2	2
4.145	26.31	0.2	0	0.2	2
4.145	26.71	0.2	0	0.2	2
4.225	27.11	0.31	0	0.2	2
4.505	29.64	0.36	0	0.2	2
