age(kyr) mean(permil) sigma(permil)
21.200000 4.977442 0.073721
21.300000 4.975316 0.073474
21.400000 4.973222 0.073471
21.500000 4.971115 0.073727
21.600000 4.968945 0.074257
21.700000 4.966663 0.075052
21.800000 4.964225 0.076069
21.900000 4.961598 0.077244
22.000000 4.958757 0.078508
22.100000 4.955691 0.079799
22.200000 4.952393 0.081072
22.300000 4.948866 0.082304
22.400000 4.945119 0.083484
22.500000 4.941168 0.084599
22.600000 4.937032 0.085642
22.700000 4.932733 0.086634
22.800000 4.928298 0.087604
22.900000 4.923757 0.088563
23.000000 4.919149 0.089476
23.100000 4.914516 0.090297
23.200000 4.909906 0.091008
23.300000 4.905370 0.091623
23.400000 4.900959 0.092150
23.500000 4.896724 0.092584
23.600000 4.892710 0.092920
23.700000 4.888956 0.093188
23.800000 4.885491 0.093463
23.900000 4.882324 0.093844
24.000000 4.879454 0.094423
24.100000 4.876862 0.095257
24.200000 4.874520 0.096368
24.300000 4.872391 0.097754
24.400000 4.870436 0.099400
24.500000 4.868608 0.101271
24.600000 4.866860 0.103308
24.700000 4.865142 0.105425
24.800000 4.863406 0.107500
24.900000 4.861603 0.109392
25.000000 4.859685 0.110976
25.100000 4.857610 0.112150
25.200000 4.855335 0.112801
25.300000 4.852822 0.112821
25.400000 4.850033 0.112199
25.500000 4.846939 0.111127
25.600000 4.843518 0.109937
25.700000 4.839758 0.108935
25.800000 4.835656 0.108327
25.900000 4.831225 0.108238
26.000000 4.826479 0.108737
26.100000 4.821441 0.109845
26.200000 4.816134 0.111534
26.300000 4.810585 0.113742
26.400000 4.804823 0.116384
26.500000 4.798879 0.119365
26.600000 4.792783 0.122587
26.700000 4.786565 0.125968
26.800000 4.780256 0.129438
26.900000 4.773884 0.132933
27.000000 4.767482 0.136390
27.100000 4.761078 0.139763
27.200000 4.754705 0.143035
27.300000 4.748394 0.146224
27.400000 4.742179 0.149385
27.500000 4.736091 0.152599
27.600000 4.730163 0.155946
27.700000 4.724424 0.159464
27.800000 4.718900 0.163123
27.900000 4.713613 0.166829
28.000000 4.708577 0.170443
28.100000 4.703806 0.173802
28.200000 4.699306 0.176733
28.300000 4.695084 0.179079
28.400000 4.691144 0.180721
28.500000 4.687491 0.181609
28.600000 4.684131 0.181785
28.700000 4.681070 0.181397
28.800000 4.678315 0.180658
28.900000 4.675875 0.179796
29.000000 4.673752 0.179008
29.100000 4.671949 0.178440
29.200000 4.670460 0.178177
29.300000 4.669274 0.178255
29.400000 4.668378 0.178671
29.500000 4.667748 0.179392
29.600000 4.667358 0.180365
29.700000 4.667180 0.181537
29.800000 4.667183 0.182879
