depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
7.980000 62.039952 62.701601 63.544802
8.030000 62.213427 62.989646 64.056745
8.080000 62.529423 63.222838 64.553744
8.130000 62.831755 63.537863 64.898619
8.180000 63.035541 63.826174 65.099915
8.230000 63.303202 64.111544 65.315693
8.280000 63.443922 64.384718 65.686345
8.330000 63.610183 64.728301 65.846419
8.380000 63.823328 65.079306 66.049104
8.430000 64.114192 65.311536 66.242848
8.480000 64.515938 65.626491 66.478113
8.580000 64.928487 66.126441 67.057678
8.630000 65.119724 66.386721 67.199652
8.680000 65.404928 66.629423 67.514890
8.730000 65.669802 66.853122 67.781517
8.780000 65.996452 67.163281 68.025048
8.830000 66.529772 67.479966 68.209005
8.880000 66.978306 67.768791 68.441076
8.930000 67.367850 68.063030 68.665623
8.980000 67.799757 68.401297 69.114417
9.030000 68.159409 68.789254 69.432562
9.080000 68.570026 69.240024 69.953248
9.130000 68.824229 69.688426 70.439471
9.180000 69.336439 70.113587 70.819483
9.230000 69.487570 70.520710 71.168236
9.280000 69.980992 70.919359 71.598559
9.330000 70.475882 71.292361 72.002979
9.380000 70.629768 71.605950 72.272316
9.430000 71.019428 71.902810 72.548218
9.480000 71.432609 72.248870 72.848274
9.530000 71.675432 72.532310 73.123754
9.580000 71.939484 72.844455 73.430286
9.630000 72.301897 73.062139 73.711642
9.680000 72.603171 73.348469 73.955310
9.730000 73.012662 73.669041 74.241439
9.780000 73.293432 74.038233 74.499999
9.830000 73.709156 74.408278 74.955730
9.880000 74.209432 74.831806 75.376757
9.930000 74.623985 75.288509 75.844677
9.980000 75.104792 75.750879 76.216789
10.030000 75.478938 76.124558 76.631602
10.080000 75.754093 76.489600 76.985789
10.130000 76.131346 76.834656 77.429348
10.180000 76.415618 77.140466 77.723645
10.230000 76.791463 77.469881 78.169283
10.280000 77.132298 77.863898 78.649566
10.330000 77.364130 78.187158 79.042549
10.380000 77.756238 78.537879 79.397560
10.430000 78.102804 78.899867 79.866324
10.480000 78.445833 79.243734 80.301617
10.530000 78.759950 79.636461 80.718089
10.580000 79.168602 79.992065 80.992464
10.630000 79.480023 80.373551 81.201914
10.680000 79.850245 80.693979 81.574844
10.730000 80.193704 80.990772 81.823471
10.780000 80.491111 81.312055 81.937632
10.830000 80.856184 81.649045 82.210797
10.880000 81.084768 81.944479 82.506395
10.930000 81.411248 82.209732 82.806805
10.980000 81.689535 82.454672 83.015266
11.030000 81.962570 82.649201 83.216587
11.080000 82.140009 82.876822 83.457899
11.130000 82.323414 83.080748 83.752393
11.180000 82.410116 83.292225 83.910098
11.230000 82.644219 83.539992 84.148248
11.280000 82.889139 83.781669 84.493635
11.330000 83.205980 84.010308 84.640856
11.380000 83.504771 84.269591 85.000544
11.430000 83.752876 84.499270 85.159843
11.480000 83.933510 84.715630 85.401296
11.530000 84.238897 84.936773 85.669444
11.580000 84.524309 85.196100 85.863601
11.630000 84.922580 85.500537 86.073986
11.680000 85.273661 85.833562 86.403400
11.730000 85.666355 86.145570 86.643070
11.780000 86.065281 86.512635 87.019865
11.830000 86.396052 86.881653 87.392150
11.880000 86.701390 87.231018 87.767230
11.930000 87.019716 87.631407 88.073243
11.980000 87.459389 87.960540 88.558968
12.030000 87.767149 88.367950 88.949987
12.080000 88.026296 88.708023 89.374908
12.130000 88.414671 89.033969 89.862027
12.180000 88.653289 89.378332 90.116996
12.230000 89.013490 89.709557 90.443887
12.280000 89.290188 90.084634 90.855494
12.330000 89.639706 90.473048 91.288100
12.380000 89.934728 90.860638 91.664599
12.430000 90.544920 91.226107 92.210700
12.480000 90.748098 91.507923 92.572486
12.530000 91.049382 91.818639 92.852652
12.580000 91.255667 92.112434 93.111244
12.630000 91.440483 92.409796 93.362756
12.680000 91.664410 92.692046 93.604746
12.730000 91.953725 92.902585 93.956187
12.780000 92.128711 93.161226 94.252767
12.830000 92.452012 93.409655 94.474298
12.880000 92.712704 93.687287 94.863134
12.930000 93.149375 93.961157 95.143328
12.980000 93.497029 94.276549 95.369294
13.030000 93.794232 94.687297 95.664130
13.080000 94.172181 95.105710 95.987956
13.130000 94.545047 95.473166 96.390824
13.180000 94.911368 95.834070 96.718639
13.230000 95.356819 96.214632 96.936909
13.280000 95.581755 96.629882 97.311510
13.330000 95.917939 97.021308 97.848709
13.380000 96.222594 97.308124 98.134847
13.430000 96.636587 97.575054 98.439769
13.480000 96.896510 97.832674 98.646740
13.530000 97.035714 98.167060 99.051620
13.580000 97.467609 98.489746 99.337188
13.630000 97.724686 98.770665 99.692756
13.680000 97.980740 99.066748 99.990539
13.730000 98.247647 99.324678 100.461734
13.780000 98.544734 99.617071 100.766412
13.830000 98.778293 99.878558 101.025287
13.880000 99.053798 100.108204 101.489142
13.930000 99.296532 100.404851 101.826671
13.980000 99.535589 100.707717 102.094414
14.030000 99.883288 100.975790 102.238182
14.080000 100.183849 101.235769 102.477004
14.130000 100.483470 101.544002 102.684142
14.180000 100.782017 101.817840 102.935485
14.230000 101.118086 102.122870 103.155394
14.280000 101.320412 102.376738 103.504726
14.330000 101.773255 102.709548 103.814351
14.380000 102.120647 103.033859 104.009225
14.430000 102.507452 103.404957 104.445849
14.480000 102.952327 103.778276 104.811652
14.530000 103.344634 104.188229 105.268346
14.580000 103.788102 104.551100 105.616478
14.630000 104.134221 104.871550 105.927138
14.680000 104.404903 105.234716 106.230488
14.730000 104.621535 105.521233 106.436084
14.780000 104.986599 105.818336 106.853000
14.830000 105.286022 106.131188 107.125418
14.880000 105.553262 106.540765 107.419915
14.930000 105.833282 106.815897 107.686452
