depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.800000 30.405250 30.855907 31.302547 31.316308 31.789414 32.251990
4.900000 30.965285 31.382395 31.910795 31.896207 32.397113 32.833330
5.000000 31.500716 32.024781 32.509058 32.481943 32.946573 33.286053
5.080000 32.173630 32.532469 33.011980 32.980126 33.375226 33.735387
5.100000 32.285494 32.670405 33.126564 33.103638 33.512128 33.881174
5.200000 32.768697 33.201118 33.624143 33.620529 34.044809 34.476022
5.300000 33.274934 33.738691 34.112280 34.128061 34.564858 35.009577
5.400000 33.807181 34.240696 34.627436 34.641762 35.043344 35.442933
5.425000 33.979400 34.391265 34.777513 34.791411 35.181163 35.568014
5.512500 34.564676 34.909320 35.334986 35.335964 35.741041 36.154778
5.600000 35.126307 35.483293 35.874872 35.881184 36.268751 36.786899
5.630000 35.329624 35.681376 36.070892 36.086586 36.491268 36.951908
5.715000 35.692813 36.136166 36.655776 36.722129 37.277832 38.044927
5.800000 36.146345 36.673529 37.309100 37.383584 38.123204 38.870692
5.900000 36.744113 37.327156 38.160041 38.146461 38.939825 39.557531
6.000000 37.474212 38.172650 38.979623 38.920637 39.620032 40.181002
6.090000 38.202822 39.023285 39.688764 39.616335 40.206831 40.609200
6.180000 39.324918 39.850668 40.351311 40.310828 40.763612 41.154127
6.200000 39.476589 39.975376 40.486081 40.447987 40.900269 41.282990
6.300000 40.080183 40.553965 41.073041 41.050905 41.516509 41.996886
6.400000 40.610313 41.103971 41.637402 41.624776 42.124427 42.583956
6.500000 41.137410 41.670528 42.194714 42.172837 42.662419 43.197499
6.600000 41.536182 42.095686 42.673340 42.663323 43.176629 43.995314
6.700000 41.977205 42.525814 43.115926 43.133251 43.706919 44.515632
6.800000 42.358963 42.936721 43.583063 43.607256 44.220764 45.064077
6.900000 42.779753 43.402005 44.050271 44.101337 44.797398 45.672599
7.000000 43.160023 43.800457 44.512422 44.567570 45.295702 46.308386
7.100000 43.552332 44.220429 44.967293 45.026556 45.796197 46.963678
7.200000 43.955150 44.658000 45.438458 45.513916 46.319480 47.572827
7.300000 44.305561 45.093063 45.918238 45.990472 46.836388 48.092189
7.400000 44.735546 45.551655 46.391525 46.451207 47.347089 48.543784
7.500000 45.146389 45.977546 46.860565 46.907117 47.831872 48.958649
7.600000 45.542967 46.405360 47.346740 47.376970 48.338896 49.331366
7.700000 45.954347 46.842556 47.796623 47.834748 48.822137 49.797022
7.800000 46.335413 47.308322 48.248621 48.288090 49.351543 50.269209
7.900000 46.743337 47.787994 48.720524 48.733379 49.766790 50.784021
8.000000 47.241290 48.184706 49.143014 49.176726 50.260025 51.255728
8.100000 47.582787 48.617673 49.566759 49.621492 50.730978 51.717543
8.200000 47.986862 49.060202 50.007057 50.057739 51.144978 52.194053
8.300000 48.413058 49.444650 50.505582 50.502816 51.572903 52.708225
