depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.960000 9.734974 9.884732 10.147139 10.143730 10.373598 10.542173
1.980000 9.756909 9.925886 10.206155 10.186274 10.412984 10.586685
2.000000 9.796928 9.959893 10.258708 10.226898 10.456743 10.635137
2.020000 9.827835 9.992747 10.301607 10.266818 10.498678 10.669812
2.040000 9.864382 10.028532 10.346746 10.306078 10.533359 10.695597
2.060000 9.891506 10.059560 10.394579 10.344325 10.570815 10.738539
2.080000 9.920903 10.093393 10.437606 10.382985 10.612548 10.776198
2.100000 9.954281 10.125040 10.478039 10.419917 10.646432 10.812411
2.120000 9.981400 10.158506 10.512405 10.457018 10.687448 10.842088
2.140000 10.011591 10.186909 10.549164 10.493156 10.722590 10.875885
2.160000 10.039195 10.215976 10.582873 10.529463 10.759809 10.902253
2.180000 10.078660 10.244336 10.616295 10.565211 10.793964 10.935916
2.200000 10.113514 10.273927 10.650019 10.600417 10.833700 10.970010
2.220000 10.144509 10.320949 10.685719 10.635757 10.866519 10.998245
2.240000 10.171586 10.358419 10.721861 10.672196 10.901860 11.024777
2.260000 10.201342 10.405558 10.756723 10.707146 10.936194 11.060870
2.280000 10.229592 10.436298 10.787516 10.742407 10.971475 11.091872
2.320000 10.281611 10.517247 10.854885 10.804906 11.025839 11.159388
2.340000 10.321853 10.560314 10.891524 10.840487 11.059509 11.198241
2.360000 10.341726 10.601207 10.924532 10.875540 11.092432 11.227272
2.380000 10.374710 10.651811 10.961713 10.911403 11.123277 11.276275
2.400000 10.399241 10.694888 10.995922 10.946984 11.158692 11.308842
2.420000 10.426489 10.735424 11.033329 10.981834 11.186926 11.345965
2.440000 10.457515 10.790123 11.072493 11.017288 11.219690 11.385510
2.460000 10.484802 10.838328 11.104678 11.052341 11.251391 11.419416
2.480000 10.515132 10.887804 11.144638 11.088627 11.281719 11.459489
2.500000 10.544423 10.919716 11.181252 11.123798 11.314694 11.496936
2.540000 10.618308 10.996201 11.238776 11.187720 11.371689 11.553764
