depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.005000 2.546585 3.572935 4.309610 4.191978 4.810051 5.182395
0.045000 2.730338 3.789096 4.526343 4.403454 4.990700 5.338214
0.085000 2.976947 4.051656 4.716253 4.606059 5.165221 5.481592
0.125000 3.237376 4.299946 4.892451 4.803599 5.329737 5.625729
0.165000 3.590677 4.536224 5.099005 5.005873 5.489949 5.778776
0.205000 3.937367 4.747894 5.272770 5.194697 5.648894 5.922677
0.245000 4.315401 4.959455 5.460361 5.380400 5.791488 6.044024
0.285000 4.602917 5.161284 5.633661 5.564135 5.928252 6.176351
0.325000 4.905836 5.405778 5.799198 5.749880 6.087778 6.328346
0.365000 5.201160 5.616556 5.973535 5.931446 6.229050 6.440754
0.405000 5.503582 5.845347 6.139751 6.108136 6.368285 6.560360
0.445000 5.723829 6.045404 6.295943 6.277848 6.508473 6.710148
0.485000 5.982345 6.257072 6.456995 6.448671 6.656382 6.840675
0.525000 6.271269 6.436665 6.621552 6.625523 6.815529 7.020671
0.565000 6.416096 6.578691 6.773662 6.785349 6.987229 7.222216
0.605000 6.551013 6.725793 6.928009 6.951363 7.177417 7.455122
0.645000 6.701593 6.873647 7.088429 7.120500 7.372010 7.724547
0.685000 6.842081 7.011369 7.253464 7.289749 7.580365 7.930862
0.725000 6.983030 7.145316 7.415847 7.460364 7.765655 8.142533
0.765000 7.107440 7.284727 7.598259 7.631120 7.972601 8.376658
0.805000 7.225165 7.415329 7.746230 7.793157 8.192028 8.588016
0.845000 7.353995 7.559340 7.890154 7.951772 8.385233 8.795167
0.885000 7.484875 7.687924 8.051107 8.104527 8.555342 9.011545
0.925000 7.630297 7.812769 8.191237 8.250947 8.733141 9.124672
0.965000 7.750872 7.950913 8.332667 8.394402 8.879004 9.306230
1.005000 7.866672 8.077559 8.477600 8.532635 9.009681 9.486552
1.045000 8.006580 8.222571 8.601080 8.672696 9.139516 9.651747
1.085000 8.133160 8.355423 8.718224 8.806057 9.273632 9.783225
1.125000 8.256129 8.484867 8.866954 8.942616 9.418555 9.937015
1.165000 8.390752 8.623162 9.009778 9.080601 9.560674 10.077121
1.205000 8.526025 8.767850 9.158339 9.224207 9.725711 10.226639
1.245000 8.689103 8.927392 9.321861 9.386870 9.888786 10.395284
1.285000 8.879537 9.138139 9.517283 9.572681 10.051464 10.583215
1.325000 9.101846 9.347491 9.711100 9.771850 10.212812 10.723230
1.365000 9.373518 9.600160 9.941875 9.990447 10.392573 10.852966
1.405000 9.628638 9.890013 10.217403 10.234159 10.571156 11.005765
1.445000 9.846341 10.181402 10.523340 10.525721 10.855130 11.223829
1.485000 10.177218 10.540706 10.857523 10.849679 11.165598 11.475831
1.525000 10.529498 10.892303 11.196748 11.191782 11.497040 11.819865
1.565000 10.870680 11.271950 11.569426 11.569816 11.914401 12.187788
1.605000 11.311852 11.625981 11.935984 11.947161 12.280425 12.586016
1.645000 12.167464 12.581067 12.995635 12.962194 13.317172 13.545893
1.685000 12.637211 13.090930 13.447847 13.401711 13.711170 13.936651
1.725000 13.309512 13.540815 13.772962 13.769429 14.003436 14.226250
1.765000 13.537912 13.791806 14.020427 14.030876 14.276651 14.547275
1.805000 13.783339 14.046114 14.298133 14.311118 14.578356 14.938420
1.845000 13.994388 14.269299 14.568326 14.595552 14.899816 15.351701
1.885000 14.233387 14.541439 14.869369 14.899092 15.258894 15.795207
1.925000 14.443779 14.818801 15.191138 15.225714 15.638757 16.139335
1.965000 14.791590 15.182258 15.599946 15.616536 16.049343 16.503481
2.005000 15.184749 15.581963 15.994194 16.022730 16.496818 16.906964
2.045000 15.551887 15.961031 16.408584 16.427425 16.890579 17.290324
2.085000 15.914735 16.410821 16.925723 16.882418 17.327463 17.696935
2.125000 16.442439 16.960240 17.411229 17.352380 17.708426 17.959777
2.165000 16.948934 17.556688 17.849443 17.788646 18.043358 18.221196
2.205000 17.867539 18.051359 18.214679 18.205996 18.358048 18.499588
2.245000 18.158213 18.363777 18.554678 18.565944 18.770745 19.038871
2.285000 18.461396 18.727884 18.993109 18.972037 19.220570 19.416007
2.325000 18.882509 19.259456 19.457909 19.444837 19.653390 19.839449
2.365000 19.455169 19.668976 19.862483 19.863590 20.061422 20.249442
2.405000 19.800201 19.990610 20.193809 20.195711 20.399031 20.627994
2.445000 20.076144 20.323064 20.557312 20.560307 20.785939 21.072816
2.485000 20.386461 20.661440 20.917822 20.920574 21.181960 21.501484
2.525000 20.750626 20.987451 21.263194 21.267745 21.534343 21.870431
2.565000 21.096962 21.375970 21.650440 21.651092 21.929917 22.203447
2.605000 21.453494 21.748513 22.006914 22.006435 22.278177 22.507832
2.645000 21.888080 22.116422 22.353552 22.350907 22.577451 22.820461
2.685000 22.098151 22.360021 22.634047 22.644119 22.901748 23.283047
2.725000 22.291212 22.582006 22.896348 22.916329 23.232537 23.611606
2.765000 22.503247 22.782366 23.152637 23.169423 23.538676 23.943526
2.805000 22.694715 23.018450 23.414567 23.421537 23.814284 24.290215
2.845000 22.859954 23.225424 23.655799 23.675278 24.110980 24.587916
