age(kyr) mean(permil) sigma(permil)
21.200000 4.963925 0.101401
21.300000 4.958746 0.101430
21.400000 4.953331 0.101463
21.500000 4.947675 0.101504
21.600000 4.941776 0.101552
21.700000 4.935635 0.101612
21.800000 4.929256 0.101681
21.900000 4.922656 0.101757
22.000000 4.915862 0.101832
22.100000 4.908913 0.101899
22.200000 4.901862 0.101950
22.300000 4.894770 0.101979
22.400000 4.887714 0.101981
22.500000 4.880769 0.101951
22.600000 4.874009 0.101884
22.700000 4.867503 0.101777
22.800000 4.861318 0.101629
22.900000 4.855517 0.101440
23.000000 4.850157 0.101218
23.100000 4.845286 0.100971
23.200000 4.840944 0.100716
23.300000 4.837156 0.100469
23.400000 4.833928 0.100250
23.500000 4.831253 0.100072
23.600000 4.829097 0.099940
23.700000 4.827397 0.099853
23.800000 4.826076 0.099804
23.900000 4.825048 0.099784
24.000000 4.824225 0.099784
24.100000 4.823522 0.099794
24.200000 4.822867 0.099812
24.300000 4.822194 0.099841
24.400000 4.821448 0.099885
24.500000 4.820584 0.099955
24.600000 4.819573 0.100058
24.700000 4.818402 0.100201
24.800000 4.817071 0.100386
24.900000 4.815589 0.100612
25.000000 4.813967 0.100876
25.100000 4.812216 0.101169
25.200000 4.810344 0.101479
25.300000 4.808346 0.101795
25.400000 4.806209 0.102107
25.500000 4.803917 0.102403
25.600000 4.801453 0.102674
25.700000 4.798806 0.102913
25.800000 4.795977 0.103114
25.900000 4.792967 0.103275
26.000000 4.789777 0.103394
26.100000 4.786400 0.103472
26.200000 4.782824 0.103514
26.300000 4.779028 0.103526
26.400000 4.774984 0.103511
26.500000 4.770662 0.103473
26.600000 4.766029 0.103417
26.700000 4.761054 0.103348
26.800000 4.755715 0.103274
26.900000 4.750006 0.103204
27.000000 4.743937 0.103144
27.100000 4.737527 0.103099
27.200000 4.730809 0.103075
27.300000 4.723830 0.103074
27.400000 4.716645 0.103091
27.500000 4.709318 0.103124
27.600000 4.701921 0.103164
27.700000 4.694535 0.103205
27.800000 4.687245 0.103236
27.900000 4.680126 0.103252
28.000000 4.673237 0.103250
28.100000 4.666621 0.103230
28.200000 4.660316 0.103188
28.300000 4.654357 0.103121
28.400000 4.648769 0.103025
28.500000 4.643574 0.102892
28.600000 4.638806 0.102717
28.700000 4.634524 0.102501
28.800000 4.630817 0.102259
28.900000 4.627793 0.102013
29.000000 4.625580 0.101798
29.100000 4.624295 0.101651
29.200000 4.623994 0.101595
29.300000 4.624651 0.101630
29.400000 4.626155 0.101733
29.500000 4.628334 0.101868
29.600000 4.631001 0.101991
29.700000 4.633984 0.102069
29.800000 4.637134 0.102083
29.900000 4.640316 0.102023
30.000000 4.643406 0.101889
30.100000 4.646302 0.101684
30.200000 4.648926 0.101422
30.300000 4.651218 0.101121
30.400000 4.653127 0.100802
30.500000 4.654614 0.100492
