depth	age	error	dR	dSTD	cc
0.525	8.67	0.12	0	0.2	2
0.655	9.91	0.15	0	0.2	2
0.755	10.96	0.17	0	0.2	2
0.855	11.77	0.16	0	0.2	2
0.955	12.59	0.2	0	0.2	2
1.005	12.9	0.14	0	0.2	2
1.105	15.38	0.14	0	0.2	2
1.205	15.84	0.21	0	0.2	2
1.505	20.35	0.3	0	0.2	2
1.705	24.93	0.42	0	0.2	2
2.205	39.3	1.9	0	0.2	2
