depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.940000 20.988576 21.372546 21.770253 21.753856 22.113396 22.487950
3.980000 21.290549 21.650551 22.026932 22.014825 22.366023 22.750157
4.010000 21.489342 21.849573 22.221520 22.209541 22.555560 22.915550
4.060000 21.940875 22.305536 22.620677 22.604735 22.905108 23.210415
4.110000 22.492531 22.739681 22.996109 22.993059 23.238576 23.498805
4.120000 22.528870 22.788317 23.050796 23.047865 23.299494 23.562349
4.160000 22.742543 23.006418 23.282882 23.298662 23.592970 23.923128
4.210000 22.914035 23.249495 23.601992 23.631892 23.993907 24.538670
4.260000 23.101863 23.529996 23.947277 23.960509 24.388624 24.972594
4.310000 23.297628 23.763470 24.251741 24.277776 24.815044 25.386824
4.360000 23.523510 23.991814 24.562257 24.581906 25.175350 25.723533
4.410000 23.736083 24.268114 24.904596 24.909813 25.522593 26.156236
4.505000 24.242961 24.872647 25.627133 25.656466 26.416304 27.222620
4.600000 24.744142 25.583156 26.322031 26.403662 27.311202 28.244974
4.650000 24.967622 25.827958 26.617189 26.685557 27.594867 28.587223
4.700000 25.294603 26.096735 26.900158 26.964550 27.862088 28.972289
4.750000 25.560065 26.334634 27.172303 27.231820 28.115756 29.277490
4.800000 25.820182 26.598720 27.433503 27.491010 28.342951 29.522732
4.850000 26.102467 26.826082 27.697929 27.730202 28.581552 29.840257
4.900000 26.350131 27.035492 27.944759 27.960872 28.775013 30.153377
4.950000 26.566699 27.240375 28.162650 28.184092 28.995775 30.377693
5.000000 26.751425 27.443051 28.393409 28.400210 29.204792 30.544310
5.040000 26.894903 27.591910 28.571016 28.565131 29.373139 30.762050
5.090000 27.022657 27.777361 28.800436 28.762515 29.581620 30.976125
5.140000 27.175001 27.948104 28.975725 28.962956 29.775457 31.211187
5.190000 27.308286 28.105036 29.166960 29.161961 29.980107 31.448541
5.240000 27.497500 28.308171 29.368874 29.358521 30.181312 31.650181
5.290000 27.636426 28.448185 29.544336 29.552241 30.457555 31.841058
5.340000 27.793215 28.650486 29.723729 29.745129 30.691049 32.052195
5.390000 27.930087 28.826140 29.935035 29.935808 30.914613 32.223164
5.440000 28.010208 28.997079 30.117581 30.119074 31.109876 32.413672
5.490000 28.175330 29.172901 30.314172 30.302659 31.308409 32.634664
5.530000 28.264119 29.308603 30.457903 30.443970 31.450775 32.850875
5.580000 28.466577 29.509100 30.636542 30.624221 31.642412 33.010546
5.630000 28.646284 29.719096 30.805581 30.806929 31.802786 33.149913
5.680000 28.809115 29.912889 30.990602 30.995288 31.972031 33.362821
5.730000 28.929442 30.119913 31.178725 31.182554 32.211468 33.553178
5.780000 29.085646 30.334798 31.345803 31.361700 32.425461 33.743052
5.830000 29.208291 30.504380 31.520930 31.545577 32.665755 33.899455
5.880000 29.349019 30.663423 31.704843 31.729482 32.870339 34.036001
5.930000 29.462512 30.863575 31.869616 31.910739 33.054201 34.198295
6.000000 29.732832 31.192869 32.108811 32.163666 33.346012 34.436347
6.050000 29.908039 31.371637 32.290959 32.351412 33.559214 34.626670
6.100000 30.043539 31.539366 32.465832 32.536339 33.779811 34.814967
6.150000 30.178037 31.717195 32.648827 32.720025 33.994918 34.990524
6.200000 30.362757 31.886616 32.833375 32.905914 34.149018 35.183518
6.250000 30.544979 32.056040 33.019751 33.103711 34.339741 35.394719
6.300000 30.741428 32.253983 33.216566 33.306757 34.583702 35.582988
6.350000 30.944398 32.477667 33.430173 33.524214 34.782772 35.854306
