depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.480000 15.644694 15.892826 16.277269 16.307162 16.747108 17.196857
2.505000 15.758615 15.985197 16.381156 16.416670 16.848780 17.330461
2.530000 15.840521 16.073619 16.501608 16.525392 16.971453 17.454556
2.555000 15.938878 16.178971 16.601540 16.633017 17.096510 17.578407
2.580000 16.029960 16.274327 16.715803 16.742709 17.201176 17.657988
2.605000 16.124116 16.389548 16.835777 16.860034 17.332043 17.751610
2.630000 16.228041 16.515875 16.951119 16.974650 17.454887 17.862804
2.655000 16.341501 16.631568 17.059804 17.096354 17.586564 17.957920
2.680000 16.476315 16.750874 17.200938 17.219810 17.700539 18.059932
2.705000 16.590417 16.869573 17.310176 17.341219 17.823570 18.154625
2.730000 16.700475 16.985916 17.430588 17.462430 17.937202 18.259298
2.755000 16.807691 17.119117 17.577334 17.588291 18.078988 18.383502
2.780000 16.952763 17.254885 17.719211 17.717267 18.198612 18.512211
2.805000 17.096275 17.405947 17.849327 17.847624 18.300380 18.593023
2.830000 17.214528 17.530567 17.965792 17.975269 18.409549 18.728569
2.855000 17.308412 17.682405 18.091352 18.102984 18.519510 18.848168
2.880000 17.432403 17.811426 18.225344 18.227454 18.635592 18.972388
2.905000 17.584712 17.969822 18.359693 18.360462 18.755536 19.086650
2.930000 17.724459 18.120732 18.504525 18.493110 18.868249 19.185583
2.955000 17.889919 18.278803 18.652679 18.633385 18.970307 19.307560
3.005000 18.289623 18.659862 18.956453 18.952473 19.234966 19.577567
3.055000 18.773737 18.998106 19.266510 19.274239 19.545988 19.837267
3.080000 18.935718 19.150272 19.410700 19.425165 19.692092 20.000523
3.105000 19.079051 19.311522 19.596075 19.617290 19.932955 20.280469
3.130000 19.198958 19.465891 19.796031 19.815679 20.157914 20.558820
3.155000 19.328761 19.648129 19.999554 20.020542 20.394015 20.788645
3.180000 19.505711 19.826196 20.221470 20.235141 20.647199 21.016745
3.205000 19.678839 20.030832 20.451214 20.451008 20.888402 21.291623
3.230000 19.875119 20.222713 20.667476 20.677743 21.127833 21.545857
3.255000 20.116976 20.461912 20.905932 20.909952 21.351695 21.727609
3.280000 20.332766 20.705257 21.149909 21.139953 21.563629 21.911456
3.305000 20.591508 20.956892 21.391377 21.365235 21.766180 22.072845
3.330000 20.878312 21.232336 21.597338 21.589930 21.941074 22.246178
3.355000 21.122428 21.487001 21.844505 21.823167 22.147900 22.422545
3.380000 21.409009 21.739091 22.072273 22.047175 22.340641 22.600032
3.405000 21.686931 21.997976 22.273980 22.264368 22.522911 22.752979
3.430000 22.062251 22.268562 22.489832 22.489158 22.714542 22.923861
3.455000 22.194678 22.419311 22.650498 22.651563 22.872309 23.110479
3.480000 22.331434 22.566363 22.811701 22.814714 23.063168 23.333638
3.505000 22.448436 22.703387 22.957175 22.968476 23.238582 23.587324
3.530000 22.580122 22.842109 23.111956 23.123567 23.393925 23.760387
3.580000 22.847378 23.134507 23.439161 23.466182 23.792832 24.171796
3.605000 22.967932 23.277182 23.592707 23.610934 23.951338 24.294437
3.630000 23.110197 23.426325 23.757837 23.760679 24.094372 24.413177
3.730000 23.898645 24.179952 24.453314 24.447528 24.710265 24.998756
