depth	age	error	dR	dSTD	cc
0.03	0.92	0.03	0	0.2	2
0.68	6.145	0.05	0	0.2	2
0.98	9.23	0.06	0	0.2	2
1.23	10.56	0.08	0	0.2	2
1.63	11.48	0.08	0	0.2	2
3.08	16.65	0.09	0	0.2	2
3.43	19.59	0.12	0	0.2	2
3.88	22.03	0.12	0	0.2	2
4.83	26.81	0.21	0	0.2	2
5.83	32.09	0.35	0	0.2	2
6.63	37	0.64	0	0.2	2
7.78	43.34	1.66	0	0.2	2
