depth	d18O
0.055	3.35
0.105	3.32
0.13	3.28
0.205	3.17
0.23	2.82
0.255	3.32
0.28	3.19
0.305	3.1
0.33	3.31
0.355	3.15
0.38	3.22
0.455	3.31
0.48	3.27
0.505	3.25
0.53	3.14
0.555	3.38
0.58	3.13
0.605	3.41
0.63	3.33
0.655	3.37
0.68	2.91
0.705	3.46
0.73	3.05
0.755	3.41
0.78	3.33
0.805	3.3
0.83	3.17
0.855	3.39
0.88	3.21
0.905	3.44
0.93	3.43
0.955	3.4
0.98	3.46
1.005	3.48
1.055	3.48
1.08	3.62
1.105	3.57
1.13	3.77
1.155	3.49
1.18	3.61
1.205	3.82
1.23	3.64
1.255	3.78
1.28	3.7
1.305	3.62
1.33	3.8
1.355	3.75
1.38	3.61
1.405	3.86
1.43	3.86
1.455	3.54
1.48	3.94
1.505	4.17
1.53	3.82
1.555	3.95
1.58	4.19
1.605	4.1
1.63	3.88
1.655	3.99
1.68	4.05
1.705	4.19
1.73	4.11
1.755	4.34
1.78	4.2
1.805	4.2
1.83	4.15
1.855	4.21
1.88	4.21
1.905	4.24
1.93	4.2
1.955	4.24
1.98	4.3
2.005	4.25
2.055	4.44
2.08	4.3
2.105	4.4
2.155	4.36
2.18	4.58
2.205	4.49
2.23	4.44
2.255	4.56
2.28	4.51
2.305	4.64
2.33	4.6
2.355	4.79
2.405	4.76
2.43	4.5
2.455	4.66
2.48	4.53
2.505	4.87
2.53	4.65
2.555	4.84
2.58	4.42
2.605	4.88
2.63	4.78
2.655	4.85
2.68	4.81
2.705	4.93
2.73	4.88
2.755	4.98
2.78	4.86
2.805	5.02
2.83	5
2.855	5.05
2.88	5
2.905	5.06
2.93	4.84
2.955	5.29
3.005	5.09
3.055	5.08
3.105	5.11
3.13	4.9
3.155	5.1
3.18	5.03
3.205	5.13
3.23	4.94
3.255	5.11
3.28	4.94
3.305	5.08
3.33	5
3.355	5.05
3.38	4.94
3.405	5.05
3.43	4.89
3.455	5.08
3.48	4.81
3.505	5.02
3.53	4.88
3.58	4.87
3.605	5.14
3.63	4.84
3.73	4.98
3.755	5.04
3.78	4.96
3.805	5.06
3.83	4.82
3.855	5.02
3.88	4.94
3.905	4.92
3.93	4.89
3.955	4.93
3.98	4.86
4.005	4.98
4.13	5.13
4.18	5.04
4.23	4.93
4.28	4.76
4.33	4.83
4.355	4.8
4.38	4.93
4.405	4.86
4.43	4.69
4.455	4.79
4.48	4.8
4.505	4.75
4.53	4.68
4.555	4.85
4.58	4.58
4.605	4.7
4.63	4.8
4.655	4.83
4.68	4.85
4.705	4.84
4.73	4.87
4.755	4.9
4.78	4.74
4.805	4.7
4.83	4.75
4.855	4.82
4.88	4.67
4.905	4.74
4.93	4.77
4.955	4.75
5.005	4.74
5.03	4.66
5.08	4.61
5.105	4.68
5.155	4.73
5.18	4.67
5.205	4.81
5.23	4.88
5.255	4.76
5.305	4.75
5.33	4.7
5.355	4.68
5.405	4.76
5.43	4.66
5.455	4.68
5.48	4.75
5.505	4.82
5.53	4.74
5.555	4.72
5.58	4.61
5.605	4.5
5.63	4.65
5.655	4.47
5.68	4.54
5.705	4.54
5.73	4.63
5.755	4.79
5.78	4.88
5.805	4.72
5.83	4.63
5.855	4.61
5.88	4.46
5.905	4.66
5.93	4.34
5.955	4.48
5.98	4.57
6.005	4.44
6.03	4.31
6.055	4.37
6.08	4.4
6.105	4.41
6.13	4.46
6.155	4.51
6.205	4.62
6.23	4.53
6.255	4.71
6.28	4.71
6.305	4.56
6.33	4.69
6.355	4.76
6.405	4.77
6.455	4.75
6.48	4.63
6.505	4.77
6.53	4.56
6.555	4.72
6.58	4.46
6.605	4.68
6.63	4.66
6.655	4.69
6.68	4.54
6.705	4.75
6.73	4.68
6.755	4.54
6.78	4.65
6.805	4.74
6.83	4.69
6.855	4.82
6.88	4.73
6.905	4.75
6.93	4.66
6.955	4.52
6.98	4.51
7.005	4.65
7.03	4.66
7.055	4.63
7.08	4.62
7.105	4.68
7.13	4.49
7.155	4.57
7.18	4.66
7.205	4.71
7.23	4.73
7.255	4.62
7.28	4.45
7.305	4.48
7.33	4.57
7.355	4.46
7.38	4.62
7.405	4.59
7.43	4.3
7.455	4.45
7.48	4.42
7.505	4.52
7.53	4.24
7.555	4.27
7.58	4.52
7.605	4.31
7.63	4.53
7.655	4.38
7.68	4.39
7.755	4.67
7.78	4.45
7.83	4.44
7.855	4.61
7.88	4.68
7.905	4.65
7.93	4.53
7.955	4.73
7.98	4.72
8.005	4.71
8.055	4.63
8.08	4.48
8.105	4.57
8.13	4.57
8.155	4.65
8.18	4.7
8.205	4.69
8.23	4.56
8.255	4.64
8.28	4.53
8.305	4.62
8.33	4.55
8.355	4.67
8.38	4.62
8.405	4.63
8.43	4.47
8.455	4.55
8.48	4.46
8.505	4.54
8.53	4.53
8.555	4.6
8.58	4.57
8.605	4.52
8.63	4.5
8.655	4.61
8.68	4.39
8.705	4.35
8.73	4.52
8.755	4.61
8.78	4.22
8.805	4.28
8.83	4.5
8.855	4.33
8.88	4.41
8.905	4.6
8.93	4.42
8.955	4.46
8.98	4.61
9.005	4.61
9.03	4.44
9.055	4.51
9.08	4.4
9.105	4.61
9.13	4.39
9.155	4.56
9.18	4.55
9.205	4.73
9.23	4.55
9.255	4.64
9.28	4.49
9.305	4.54
9.33	4.31
9.355	4.53
9.38	4.45
9.405	4.43
9.43	4.23
9.455	4.57
9.48	4.34
9.505	4.39
9.53	4.19
9.555	4.51
