age(kyr) mean(permil) sigma(permil)
21.200000 4.977103 0.092787
21.300000 4.974181 0.090525
21.400000 4.971157 0.088356
21.500000 4.967580 0.086991
21.600000 4.963455 0.086715
21.700000 4.958826 0.087431
21.800000 4.953688 0.089228
21.900000 4.948206 0.091655
22.000000 4.941741 0.095020
22.100000 4.933990 0.099164
22.200000 4.925184 0.103598
22.300000 4.915309 0.108097
22.400000 4.904913 0.112077
22.500000 4.894107 0.115781
22.600000 4.883224 0.119182
22.700000 4.872576 0.122060
22.800000 4.862639 0.124439
22.900000 4.853342 0.126206
23.000000 4.845170 0.127561
23.100000 4.838081 0.128340
23.200000 4.831751 0.128296
23.300000 4.825990 0.127206
23.400000 4.820468 0.124948
23.500000 4.815870 0.122149
23.600000 4.813150 0.119226
23.700000 4.812086 0.116535
23.800000 4.813095 0.114256
23.900000 4.815799 0.112072
24.000000 4.821339 0.110199
24.100000 4.829056 0.108703
24.200000 4.838121 0.107325
24.300000 4.847768 0.105949
24.400000 4.856640 0.104604
24.500000 4.863005 0.103739
24.600000 4.866093 0.103469
24.700000 4.866125 0.103407
24.800000 4.863437 0.103283
24.900000 4.859837 0.102627
25.000000 4.855410 0.101630
25.100000 4.850847 0.100264
25.200000 4.846826 0.098643
25.300000 4.843211 0.097230
25.400000 4.839659 0.096154
25.500000 4.836238 0.096375
25.600000 4.832610 0.098440
25.700000 4.828940 0.102268
25.800000 4.825240 0.107620
25.900000 4.821813 0.113662
26.000000 4.819050 0.120062
26.100000 4.817530 0.126280
26.200000 4.816611 0.131784
26.300000 4.816273 0.136447
26.400000 4.815796 0.139962
26.500000 4.813947 0.142546
26.600000 4.809226 0.144346
26.700000 4.802314 0.145359
26.800000 4.792856 0.145589
26.900000 4.782072 0.144927
27.000000 4.769770 0.143489
27.100000 4.756760 0.141409
27.200000 4.743375 0.138431
27.300000 4.730397 0.135086
27.400000 4.717819 0.131596
27.500000 4.706534 0.128320
27.600000 4.697572 0.125365
27.700000 4.690356 0.122894
27.800000 4.684674 0.121085
27.900000 4.679784 0.119958
28.000000 4.675761 0.120101
28.100000 4.671741 0.121798
28.200000 4.667355 0.124853
28.300000 4.662604 0.128598
28.400000 4.657392 0.131904
28.500000 4.650948 0.134090
28.600000 4.643072 0.134914
28.700000 4.635022 0.134450
28.800000 4.626751 0.133102
28.900000 4.619141 0.131398
29.000000 4.613942 0.130313
29.100000 4.612730 0.129947
29.200000 4.614651 0.130111
29.300000 4.619857 0.130515
29.400000 4.626628 0.130611
29.500000 4.635112 0.130170
29.600000 4.643935 0.129115
29.700000 4.651862 0.127557
29.800000 4.658366 0.126047
29.900000 4.663414 0.124839
30.000000 4.665695 0.124622
30.100000 4.664946 0.125459
30.200000 4.662266 0.126924
30.300000 4.658027 0.128481
30.400000 4.653500 0.129440
30.500000 4.649244 0.129469
30.600000 4.646430 0.128235
30.700000 4.645266 0.125463
30.800000 4.646121 0.121497
30.900000 4.648051 0.116559
31.000000 4.651456 0.111493
31.100000 4.655403 0.107079
31.200000 4.659235 0.103574
31.300000 4.661866 0.100995
31.400000 4.663538 0.099135
31.500000 4.663902 0.098202
31.600000 4.662243 0.098136
31.700000 4.659073 0.098619
31.800000 4.655118 0.099254
31.900000 4.650894 0.099732
32.000000 4.645601 0.100028
32.100000 4.640714 0.100090
32.200000 4.636202 0.099553
32.300000 4.632340 0.098812
32.400000 4.629015 0.097981
32.500000 4.627235 0.097510
32.600000 4.626486 0.097615
32.700000 4.626676 0.098189
32.800000 4.627210 0.099350
32.900000 4.627487 0.100910
33.000000 4.626341 0.102975
33.100000 4.623240 0.105078
33.200000 4.618285 0.106524
33.300000 4.611574 0.106858
33.400000 4.604270 0.105839
33.500000 4.596801 0.104056
33.600000 4.589689 0.102112
33.700000 4.583211 0.100410
33.800000 4.577521 0.099431
33.900000 4.572284 0.099038
34.000000 4.567731 0.099502
34.100000 4.563199 0.100908
34.200000 4.558385 0.102858
34.300000 4.553242 0.105247
34.400000 4.547823 0.108131
34.500000 4.541690 0.111704
34.600000 4.535576 0.116371
34.700000 4.529476 0.122076
34.800000 4.523277 0.128781
34.900000 4.516511 0.135870
35.000000 4.508523 0.142978
35.100000 4.499013 0.149652
35.200000 4.488822 0.155303
35.300000 4.478358 0.159606
35.400000 4.468595 0.162109
35.500000 4.460550 0.162674
35.600000 4.455236 0.161492
35.700000 4.451646 0.158800
35.800000 4.449899 0.154879
35.900000 4.448943 0.149948
36.000000 4.449166 0.144378
36.100000 4.448775 0.138632
36.200000 4.447873 0.133050
36.300000 4.445775 0.127987
36.400000 4.442441 0.123478
36.500000 4.437076 0.119858
36.600000 4.430127 0.117229
36.700000 4.421847 0.115391
36.800000 4.412631 0.114252
36.900000 4.403392 0.113577
37.000000 4.393774 0.113422
37.100000 4.384533 0.113615
37.200000 4.375818 0.114329
37.300000 4.367673 0.115610
37.400000 4.359885 0.117202
37.500000 4.353413 0.119102
37.600000 4.348886 0.121106
37.700000 4.346418 0.123119
37.800000 4.345507 0.125369
37.900000 4.345885 0.127610
38.000000 4.348789 0.129847
38.100000 4.354156 0.132139
38.200000 4.361511 0.134466
38.300000 4.371312 0.136418
38.400000 4.382399 0.137817
38.500000 4.395382 0.138655
38.600000 4.409963 0.138836
38.700000 4.425345 0.138439
38.800000 4.441705 0.137238
38.900000 4.458231 0.135283
39.000000 4.474748 0.132891
39.100000 4.490872 0.130013
39.200000 4.506210 0.126754
39.300000 4.520839 0.123429
39.400000 4.535215 0.120064
39.500000 4.548595 0.116916
39.600000 4.560757 0.114273
39.700000 4.571890 0.112156
39.800000 4.581433 0.110664
39.900000 4.589606 0.109587
40.000000 4.595715 0.109122
40.100000 4.599488 0.109005
40.200000 4.601480 0.108974
40.300000 4.602031 0.108940
40.400000 4.601828 0.108572
40.500000 4.600135 0.108104
40.600000 4.597098 0.107533
40.700000 4.593517 0.106788
40.800000 4.589428 0.105986
40.900000 4.585723 0.104995
41.000000 4.582831 0.104231
41.100000 4.581124 0.103800
41.200000 4.580643 0.103662
41.300000 4.581829 0.103957
41.400000 4.583362 0.104396
41.500000 4.586243 0.105132
41.600000 4.590520 0.106170
41.700000 4.595047 0.107307
41.800000 4.598779 0.108668
41.900000 4.601853 0.110010
42.000000 4.603167 0.111477
42.100000 4.602029 0.112914
42.200000 4.598553 0.114255
42.300000 4.593483 0.115547
42.400000 4.587656 0.116761
42.500000 4.580703 0.118081
42.600000 4.572765 0.119555
42.700000 4.564961 0.121249
42.800000 4.556709 0.123060
42.900000 4.548196 0.124795
43.000000 4.539094 0.126649
43.100000 4.529884 0.128513
43.200000 4.520092 0.130028
43.300000 4.509888 0.131410
43.400000 4.500114 0.132297
43.500000 4.491093 0.133119
43.600000 4.483343 0.134126
43.700000 4.477061 0.135203
43.800000 4.472560 0.136347
43.900000 4.469268 0.137453
44.000000 4.467404 0.138829
44.100000 4.466310 0.140665
44.200000 4.466400 0.142765
44.300000 4.467484 0.145050
44.400000 4.468857 0.147355
44.500000 4.471483 0.149589
44.600000 4.475166 0.151572
44.700000 4.479398 0.153058
44.800000 4.484043 0.154166
44.900000 4.488420 0.154812
45.000000 4.492647 0.154891
45.100000 4.496635 0.154672
45.200000 4.500235 0.154122
45.300000 4.503344 0.153212
45.400000 4.506236 0.152028
45.500000 4.507755 0.150711
45.600000 4.507802 0.149433
45.700000 4.506683 0.148205
45.800000 4.504716 0.146900
45.900000 4.502283 0.145538
46.000000 4.499495 0.144173
46.100000 4.496530 0.142818
46.200000 4.493049 0.141671
46.300000 4.489365 0.140589
46.400000 4.485600 0.139855
46.500000 4.481763 0.139710
46.600000 4.478084 0.140095
46.700000 4.474401 0.141264
46.800000 4.470460 0.143116
46.900000 4.466193 0.145370
47.000000 4.461440 0.148267
47.100000 4.456573 0.151659
47.200000 4.451475 0.155309
47.300000 4.446090 0.159040
47.400000 4.440809 0.162602
47.500000 4.436271 0.165792
47.600000 4.432872 0.168576
47.700000 4.430506 0.170798
47.800000 4.429199 0.172397
47.900000 4.428664 0.173160
48.000000 4.429570 0.173105
48.100000 4.431420 0.172383
48.200000 4.434208 0.171026
48.300000 4.437580 0.169266
48.400000 4.441010 0.167286
48.500000 4.444273 0.165372
48.600000 4.447119 0.163665
48.700000 4.449837 0.162097
48.800000 4.452689 0.160697
48.900000 4.455746 0.159283
49.000000 4.458911 0.157829
49.100000 4.462303 0.156323
49.200000 4.465786 0.154738
49.300000 4.469615 0.152889
49.400000 4.473632 0.150845
49.500000 4.477624 0.148698
49.600000 4.481121 0.146521
49.700000 4.484403 0.144525
49.800000 4.487150 0.142769
49.900000 4.489658 0.141145
50.000000 4.491580 0.139787
50.100000 4.492900 0.138868
50.200000 4.494030 0.138198
50.300000 4.494699 0.137670
50.400000 4.494775 0.137280
50.500000 4.494254 0.137159
50.600000 4.493422 0.137179
50.700000 4.491907 0.137211
50.800000 4.489501 0.137339
50.900000 4.486900 0.137438
51.000000 4.483827 0.137514
51.100000 4.479608 0.137586
51.200000 4.474458 0.137531
51.300000 4.468759 0.137471
51.400000 4.463021 0.137420
51.500000 4.456875 0.137323
51.600000 4.450403 0.137220
51.700000 4.443603 0.136992
51.800000 4.436796 0.136817
51.900000 4.429798 0.136562
52.000000 4.422710 0.136262
52.100000 4.415992 0.135898
52.200000 4.409573 0.135439
52.300000 4.403288 0.134769
52.400000 4.396722 0.133759
52.500000 4.390217 0.132639
52.600000 4.384197 0.131562
52.700000 4.378577 0.130606
52.800000 4.373439 0.129861
52.900000 4.368562 0.129209
53.000000 4.364103 0.128798
53.100000 4.360482 0.128664
53.200000 4.357707 0.128600
53.300000 4.355699 0.128529
53.400000 4.354274 0.128404
53.500000 4.353773 0.128430
53.600000 4.354123 0.128610
53.700000 4.355313 0.128743
53.800000 4.357732 0.128750
53.900000 4.360754 0.128673
54.000000 4.364277 0.128612
54.100000 4.368104 0.128426
54.200000 4.371984 0.128193
54.300000 4.375756 0.127932
54.400000 4.379916 0.127453
54.500000 4.384495 0.126888
54.600000 4.389029 0.126301
54.700000 4.393701 0.125603
54.800000 4.398371 0.124785
54.900000 4.402892 0.123884
55.000000 4.407557 0.123083
55.100000 4.412640 0.122348
55.200000 4.417912 0.121762
55.300000 4.423290 0.121373
55.400000 4.428580 0.120951
55.500000 4.433929 0.120569
55.600000 4.439098 0.120166
55.700000 4.444039 0.119910
55.800000 4.448583 0.119798
55.900000 4.452813 0.119619
56.000000 4.456032 0.119609
56.100000 4.457979 0.119793
56.200000 4.458252 0.120078
56.300000 4.456939 0.120465
56.400000 4.454718 0.120902
56.500000 4.451063 0.121558
56.600000 4.445785 0.122454
56.700000 4.439726 0.123510
56.800000 4.432745 0.124669
56.900000 4.425301 0.125737
57.000000 4.417157 0.126803
57.100000 4.408456 0.127734
57.200000 4.399459 0.128652
57.300000 4.390301 0.129465
57.400000 4.381076 0.130157
57.500000 4.372146 0.130974
57.600000 4.363973 0.131896
57.700000 4.356411 0.132659
57.800000 4.349575 0.133431
57.900000 4.342984 0.134160
58.000000 4.336557 0.134918
58.100000 4.330351 0.135722
58.200000 4.324405 0.136605
58.300000 4.318532 0.137475
58.400000 4.312625 0.138179
58.500000 4.307078 0.138874
58.600000 4.301947 0.139542
58.700000 4.297211 0.140058
58.800000 4.292973 0.140473
58.900000 4.289514 0.140617
59.000000 4.287670 0.140540
59.100000 4.287417 0.140374
59.200000 4.288754 0.140168
59.300000 4.292033 0.139785
59.400000 4.296503 0.139069
59.500000 4.302508 0.138208
59.600000 4.309616 0.137196
59.700000 4.317239 0.136005
59.800000 4.325363 0.134656
59.900000 4.333552 0.133133
60.000000 4.341792 0.131608
60.100000 4.350543 0.130133
60.200000 4.359572 0.128565
60.300000 4.368746 0.127066
60.400000 4.377787 0.125463
60.500000 4.386624 0.123925
60.600000 4.395156 0.122504
60.700000 4.403420 0.121166
60.800000 4.410992 0.119888
60.900000 4.418450 0.118525
61.000000 4.425764 0.117395
61.100000 4.433094 0.116575
61.200000 4.440329 0.115920
61.300000 4.447636 0.115451
61.400000 4.455026 0.114997
61.500000 4.462625 0.114908
61.600000 4.470256 0.115011
61.700000 4.478198 0.115216
61.800000 4.486823 0.115643
61.900000 4.495496 0.116009
