age(kyr) mean(permil) sigma(permil)
21.200000 4.963481 0.103349
21.300000 4.959511 0.103256
21.400000 4.955090 0.103124
21.500000 4.951114 0.103129
21.600000 4.946789 0.103322
21.700000 4.941773 0.103472
21.800000 4.935032 0.103719
21.900000 4.927709 0.103875
22.000000 4.920411 0.104134
22.100000 4.913301 0.104260
22.200000 4.905893 0.104343
22.300000 4.896493 0.104620
22.400000 4.885894 0.104618
22.500000 4.875086 0.104472
22.600000 4.866331 0.104077
22.700000 4.859365 0.103472
22.800000 4.853116 0.102673
22.900000 4.847778 0.102117
23.000000 4.842937 0.101567
23.100000 4.838149 0.101075
23.200000 4.835484 0.101261
23.300000 4.832736 0.101579
23.400000 4.832007 0.101388
23.500000 4.829414 0.101034
23.600000 4.825988 0.100593
23.700000 4.825433 0.100112
23.800000 4.826298 0.100472
23.900000 4.825352 0.101154
24.000000 4.825738 0.101625
24.100000 4.828434 0.101735
24.200000 4.831508 0.101653
24.300000 4.833114 0.101547
24.400000 4.833849 0.101473
24.500000 4.832783 0.101413
24.600000 4.830060 0.101215
24.700000 4.826189 0.101093
24.800000 4.821366 0.100889
24.900000 4.816021 0.100934
25.000000 4.811013 0.101042
25.100000 4.807975 0.101564
25.200000 4.807389 0.102380
25.300000 4.806870 0.103044
25.400000 4.805783 0.103646
25.500000 4.804848 0.104456
25.600000 4.802793 0.105213
25.700000 4.799689 0.105682
25.800000 4.796500 0.105992
25.900000 4.792633 0.106275
26.000000 4.788984 0.106616
26.100000 4.786040 0.106779
26.200000 4.782544 0.107565
26.300000 4.779134 0.108230
26.400000 4.777949 0.107978
26.500000 4.777685 0.107509
26.600000 4.775496 0.107253
26.700000 4.771441 0.107370
26.800000 4.764983 0.107668
26.900000 4.756577 0.107710
27.000000 4.747574 0.107940
27.100000 4.738865 0.108237
27.200000 4.729981 0.109103
27.300000 4.721164 0.109852
27.400000 4.712487 0.110220
27.500000 4.704016 0.110142
27.600000 4.695701 0.109337
27.700000 4.687828 0.108337
27.800000 4.681002 0.107407
27.900000 4.674420 0.106604
28.000000 4.668350 0.105910
