age(kyr) mean(permil) sigma(permil)
21.200000 4.960708 0.116897
21.300000 4.959285 0.115776
21.400000 4.957646 0.115113
21.500000 4.955555 0.114747
21.600000 4.953181 0.114744
21.700000 4.950373 0.114751
21.800000 4.946795 0.114800
21.900000 4.942286 0.114917
22.000000 4.936779 0.115100
22.100000 4.930670 0.115164
22.200000 4.924179 0.115143
22.300000 4.916898 0.114896
22.400000 4.908479 0.114829
22.500000 4.899203 0.114693
22.600000 4.890472 0.114502
22.700000 4.883748 0.114048
22.800000 4.878774 0.113353
22.900000 4.875781 0.112628
23.000000 4.873943 0.112129
23.100000 4.872247 0.111723
23.200000 4.870357 0.111360
23.300000 4.869870 0.111233
23.400000 4.869450 0.111420
23.500000 4.868786 0.111554
23.600000 4.867164 0.111843
23.700000 4.863003 0.112220
23.800000 4.858742 0.112567
23.900000 4.855672 0.113192
24.000000 4.852717 0.114053
24.100000 4.849695 0.114842
24.200000 4.848881 0.115249
24.300000 4.849326 0.115542
24.400000 4.849612 0.115778
24.500000 4.849737 0.116042
24.600000 4.849220 0.116307
24.700000 4.848178 0.116611
24.800000 4.846849 0.117107
24.900000 4.844969 0.117376
25.000000 4.843274 0.117649
25.100000 4.841434 0.117974
25.200000 4.839652 0.118434
25.300000 4.838132 0.118927
25.400000 4.837838 0.119650
25.500000 4.838365 0.120095
25.600000 4.837606 0.120662
25.700000 4.835455 0.121319
25.800000 4.831963 0.121869
25.900000 4.826384 0.121409
26.000000 4.822795 0.120373
26.100000 4.819595 0.119497
26.200000 4.814874 0.119028
26.300000 4.811146 0.118926
26.400000 4.811070 0.119135
26.500000 4.812102 0.118829
26.600000 4.811820 0.118606
26.700000 4.809984 0.118788
26.800000 4.804993 0.119248
26.900000 4.797802 0.119796
27.000000 4.790365 0.119684
27.100000 4.783751 0.119468
27.200000 4.776895 0.119469
27.300000 4.769943 0.119499
27.400000 4.762280 0.119466
27.500000 4.753976 0.119218
27.600000 4.746016 0.118537
27.700000 4.739483 0.118072
27.800000 4.734325 0.117729
27.900000 4.728121 0.117390
28.000000 4.721089 0.117299
28.100000 4.713833 0.117422
28.200000 4.706690 0.117665
28.300000 4.699194 0.118164
28.400000 4.691933 0.118663
28.500000 4.684062 0.118621
28.600000 4.675360 0.118016
28.700000 4.666010 0.117151
28.800000 4.656013 0.116214
28.900000 4.646271 0.115268
29.000000 4.637491 0.114439
29.100000 4.631574 0.113718
29.200000 4.631175 0.113523
29.300000 4.635033 0.113678
29.400000 4.641564 0.113948
29.500000 4.649517 0.114242
29.600000 4.658354 0.114570
29.700000 4.664465 0.114758
29.800000 4.670807 0.114715
29.900000 4.676061 0.114726
30.000000 4.680211 0.114370
30.100000 4.684314 0.113608
30.200000 4.687435 0.112817
30.300000 4.690173 0.112133
30.400000 4.691585 0.111827
30.500000 4.692084 0.111879
30.600000 4.691433 0.111878
30.700000 4.690591 0.111716
30.800000 4.688940 0.111931
30.900000 4.687455 0.112166
31.000000 4.685865 0.112772
31.100000 4.685204 0.113573
31.200000 4.684645 0.113986
31.300000 4.682816 0.114521
31.400000 4.679684 0.115254
31.500000 4.675048 0.116025
31.600000 4.669577 0.117069
31.700000 4.663545 0.117887
31.800000 4.656646 0.118554
31.900000 4.649555 0.118873
32.000000 4.641436 0.119122
32.100000 4.632043 0.119200
32.200000 4.623396 0.118774
32.300000 4.615198 0.117904
32.400000 4.608933 0.116913
32.500000 4.605249 0.116192
32.600000 4.604062 0.115957
32.700000 4.604314 0.115616
32.800000 4.604651 0.115436
32.900000 4.604279 0.115549
33.000000 4.602852 0.116619
33.100000 4.598709 0.117098
33.200000 4.594486 0.117266
33.300000 4.591017 0.117526
33.400000 4.589043 0.117514
33.500000 4.588814 0.117347
33.600000 4.588854 0.117678
33.700000 4.588882 0.117517
33.800000 4.588842 0.117458
33.900000 4.587573 0.117450
34.000000 4.584935 0.117712
34.100000 4.581965 0.117875
34.200000 4.578878 0.118285
34.300000 4.573815 0.118903
34.400000 4.567666 0.119253
34.500000 4.562112 0.119173
34.600000 4.555438 0.119537
34.700000 4.548717 0.120072
34.800000 4.542827 0.119912
34.900000 4.537030 0.119673
35.000000 4.535783 0.120036
35.100000 4.537421 0.120268
35.200000 4.535632 0.120818
35.300000 4.531301 0.120902
35.400000 4.529365 0.120819
35.500000 4.527292 0.120364
35.600000 4.524336 0.119418
35.700000 4.520659 0.118974
35.800000 4.517483 0.119338
35.900000 4.514575 0.120405
36.000000 4.511175 0.122002
36.100000 4.506113 0.122951
36.200000 4.498777 0.123470
36.300000 4.489323 0.123801
36.400000 4.477702 0.123569
36.500000 4.464639 0.123678
36.600000 4.450190 0.123681
36.700000 4.435035 0.123005
36.800000 4.420401 0.122172
36.900000 4.407154 0.121715
37.000000 4.395104 0.121104
37.100000 4.385052 0.120232
37.200000 4.375633 0.119224
37.300000 4.367523 0.118225
37.400000 4.361356 0.117103
37.500000 4.358954 0.116531
37.600000 4.360487 0.116826
37.700000 4.365423 0.116686
37.800000 4.373280 0.116724
37.900000 4.384052 0.117178
38.000000 4.397467 0.118212
38.100000 4.411905 0.119164
38.200000 4.426769 0.119709
38.300000 4.442062 0.119937
38.400000 4.457633 0.119982
38.500000 4.473049 0.119615
38.600000 4.488004 0.118996
38.700000 4.502223 0.118045
38.800000 4.515899 0.117329
38.900000 4.529039 0.116822
39.000000 4.541494 0.115991
39.100000 4.553416 0.115151
39.200000 4.564169 0.114464
39.300000 4.572831 0.114217
39.400000 4.580020 0.113780
39.500000 4.586361 0.113459
39.600000 4.591648 0.113183
39.700000 4.596330 0.113877
39.800000 4.599611 0.114322
39.900000 4.601199 0.115145
40.000000 4.601467 0.116325
40.100000 4.601219 0.117780
40.200000 4.601867 0.118059
40.300000 4.602566 0.117389
40.400000 4.602576 0.117185
40.500000 4.601972 0.116733
40.600000 4.600589 0.117045
40.700000 4.598815 0.117201
40.800000 4.596726 0.117155
40.900000 4.594700 0.116823
41.000000 4.592603 0.116211
41.100000 4.589991 0.116205
41.200000 4.587595 0.116247
41.300000 4.586147 0.116056
41.400000 4.585921 0.116099
41.500000 4.587769 0.115661
41.600000 4.590641 0.115486
41.700000 4.593264 0.115445
41.800000 4.595375 0.115421
41.900000 4.596727 0.115601
