age(kyr) mean(permil) sigma(permil)
21.200000 4.971902 0.092941
21.300000 4.968402 0.090735
21.400000 4.965249 0.088915
21.500000 4.962036 0.087724
21.600000 4.958686 0.086985
21.700000 4.955519 0.087074
21.800000 4.951844 0.087829
21.900000 4.947105 0.089526
22.000000 4.941201 0.092200
22.100000 4.934415 0.095417
22.200000 4.926037 0.099079
22.300000 4.916672 0.102807
22.400000 4.906324 0.106655
22.500000 4.895578 0.110495
22.600000 4.884825 0.114060
22.700000 4.874227 0.117446
22.800000 4.863889 0.120429
22.900000 4.854245 0.122957
23.000000 4.845088 0.124891
23.100000 4.836355 0.125931
23.200000 4.828506 0.126025
23.300000 4.821623 0.125048
23.400000 4.815781 0.123238
23.500000 4.811563 0.120821
23.600000 4.808750 0.118130
23.700000 4.808314 0.115758
23.800000 4.809880 0.113868
23.900000 4.814382 0.112460
24.000000 4.821372 0.111230
24.100000 4.829764 0.109835
24.200000 4.838724 0.108366
24.300000 4.847344 0.106948
24.400000 4.854604 0.105843
24.500000 4.859485 0.105112
24.600000 4.862274 0.104468
24.700000 4.862496 0.104026
24.800000 4.860929 0.103376
24.900000 4.857527 0.102439
25.000000 4.853273 0.101251
25.100000 4.848935 0.099754
25.200000 4.844949 0.098395
25.300000 4.841334 0.097298
25.400000 4.837914 0.097213
25.500000 4.834545 0.098596
25.600000 4.830916 0.101383
25.700000 4.827282 0.105659
25.800000 4.823708 0.110862
25.900000 4.820753 0.116614
26.000000 4.818565 0.122259
26.100000 4.817342 0.127298
26.200000 4.816479 0.131631
26.300000 4.815598 0.135109
26.400000 4.814061 0.137764
26.500000 4.811064 0.139713
26.600000 4.806524 0.140855
26.700000 4.799611 0.141293
26.800000 4.790870 0.140850
26.900000 4.780005 0.139395
27.000000 4.767690 0.137106
27.100000 4.754466 0.133870
27.200000 4.741209 0.130138
27.300000 4.728462 0.126411
27.400000 4.716576 0.123156
27.500000 4.705981 0.120642
27.600000 4.696663 0.118905
27.700000 4.688855 0.118136
27.800000 4.681905 0.118378
27.900000 4.675682 0.120116
28.000000 4.669358 0.123606
28.100000 4.662625 0.128452
28.200000 4.654981 0.133386
28.300000 4.646540 0.136637
28.400000 4.638032 0.137665
28.500000 4.630121 0.137039
28.600000 4.622905 0.135725
28.700000 4.617338 0.134515
28.800000 4.613641 0.133662
28.900000 4.612496 0.132958
29.000000 4.614327 0.132358
29.100000 4.617832 0.131929
29.200000 4.623526 0.131643
29.300000 4.630309 0.131401
29.400000 4.637627 0.131050
29.500000 4.643916 0.130449
29.600000 4.650053 0.129578
29.700000 4.654836 0.128628
29.800000 4.658490 0.127614
29.900000 4.660166 0.126572
30.000000 4.660663 0.125594
30.100000 4.659888 0.124563
30.200000 4.657650 0.123642
30.300000 4.654505 0.122703
30.400000 4.651003 0.121823
30.500000 4.647649 0.120914
30.600000 4.644466 0.119875
30.700000 4.642279 0.118894
30.800000 4.640642 0.117810
30.900000 4.639448 0.116677
31.000000 4.638452 0.115540
31.100000 4.637864 0.114372
31.200000 4.638026 0.112944
31.300000 4.638906 0.111193
31.400000 4.640917 0.109241
31.500000 4.643487 0.107339
31.600000 4.646279 0.105368
31.700000 4.648456 0.103641
31.800000 4.650182 0.102104
31.900000 4.650915 0.100895
32.000000 4.650420 0.100159
32.100000 4.649067 0.099702
32.200000 4.646383 0.099401
32.300000 4.642965 0.099152
32.400000 4.638773 0.098951
32.500000 4.635055 0.098517
32.600000 4.631620 0.098101
32.700000 4.629386 0.098044
32.800000 4.627769 0.098482
32.900000 4.626797 0.099671
33.000000 4.625489 0.101597
33.100000 4.623678 0.103834
33.200000 4.620410 0.105979
33.300000 4.615723 0.107355
33.400000 4.609359 0.107613
33.500000 4.601891 0.106552
33.600000 4.593801 0.104210
33.700000 4.585648 0.101514
33.800000 4.578105 0.099231
33.900000 4.571299 0.098254
34.000000 4.565109 0.098759
34.100000 4.559656 0.100298
34.200000 4.554761 0.102829
34.300000 4.549718 0.105971
34.400000 4.544360 0.109889
34.500000 4.538477 0.114453
34.600000 4.531899 0.119400
34.700000 4.524446 0.124908
34.800000 4.516447 0.130727
34.900000 4.508043 0.136822
35.000000 4.499348 0.142758
35.100000 4.490375 0.148218
35.200000 4.481571 0.152866
35.300000 4.473448 0.156244
35.400000 4.466729 0.157990
35.500000 4.461151 0.158362
35.600000 4.457258 0.157344
35.700000 4.455210 0.155188
35.800000 4.454088 0.151891
35.900000 4.453549 0.147661
36.000000 4.453832 0.142878
36.100000 4.453547 0.137746
36.200000 4.452168 0.132707
36.300000 4.449610 0.127957
36.400000 4.445142 0.123789
36.500000 4.438347 0.120279
36.600000 4.430099 0.117401
36.700000 4.420270 0.115156
36.800000 4.409762 0.113497
36.900000 4.398639 0.112369
37.000000 4.387661 0.111712
37.100000 4.377145 0.111320
37.200000 4.367331 0.111360
37.300000 4.358371 0.111834
37.400000 4.350680 0.112727
37.500000 4.344397 0.113981
37.600000 4.339323 0.115450
37.700000 4.336098 0.117357
37.800000 4.334370 0.119394
37.900000 4.334947 0.121553
38.000000 4.337963 0.123983
38.100000 4.342707 0.126414
38.200000 4.349359 0.128749
38.300000 4.357372 0.130926
38.400000 4.367649 0.132825
38.500000 4.379352 0.134232
38.600000 4.392147 0.135094
38.700000 4.406520 0.135167
38.800000 4.421439 0.134628
38.900000 4.436713 0.133579
39.000000 4.452722 0.132104
39.100000 4.468850 0.130081
39.200000 4.484906 0.127804
39.300000 4.500941 0.125275
39.400000 4.516194 0.122712
39.500000 4.530384 0.120157
39.600000 4.543919 0.117640
39.700000 4.556221 0.115475
39.800000 4.567538 0.113595
39.900000 4.576984 0.112117
40.000000 4.584174 0.111158
40.100000 4.589825 0.110571
40.200000 4.593522 0.110454
40.300000 4.595906 0.110475
40.400000 4.597398 0.110442
40.500000 4.598189 0.110228
40.600000 4.597956 0.109500
40.700000 4.596756 0.108550
40.800000 4.594860 0.107361
40.900000 4.592001 0.106187
41.000000 4.588530 0.105226
41.100000 4.585289 0.104300
41.200000 4.582971 0.103629
41.300000 4.581445 0.103269
41.400000 4.581060 0.103499
41.500000 4.581991 0.104356
41.600000 4.583649 0.105632
41.700000 4.585510 0.107149
41.800000 4.587414 0.108867
41.900000 4.589257 0.110834
42.000000 4.590472 0.112961
42.100000 4.590995 0.115151
42.200000 4.590057 0.117320
42.300000 4.587806 0.119368
42.400000 4.583707 0.121492
42.500000 4.578196 0.123697
42.600000 4.571927 0.125803
42.700000 4.564542 0.127938
42.800000 4.556611 0.129995
42.900000 4.548315 0.131885
43.000000 4.539693 0.133469
43.100000 4.530736 0.134617
43.200000 4.522419 0.135589
43.300000 4.514517 0.136343
43.400000 4.507289 0.137088
43.500000 4.500958 0.137757
43.600000 4.495287 0.138415
43.700000 4.490416 0.138872
43.800000 4.486322 0.139136
43.900000 4.482775 0.139416
44.000000 4.479933 0.139938
44.100000 4.477745 0.140597
44.200000 4.476614 0.141464
44.300000 4.476262 0.142532
44.400000 4.477173 0.143837
44.500000 4.478984 0.145444
44.600000 4.481492 0.147131
44.700000 4.484665 0.148632
44.800000 4.488118 0.149756
44.900000 4.492227 0.150460
45.000000 4.496155 0.150781
45.100000 4.499868 0.150540
45.200000 4.503227 0.149886
45.300000 4.506437 0.148888
45.400000 4.508737 0.147606
45.500000 4.510349 0.146120
45.600000 4.511036 0.144468
45.700000 4.509789 0.142769
45.800000 4.507389 0.141153
45.900000 4.503840 0.139778
46.000000 4.499327 0.138651
46.100000 4.494412 0.137791
46.200000 4.489494 0.137499
46.300000 4.484347 0.137715
46.400000 4.478570 0.138371
46.500000 4.472639 0.139570
46.600000 4.466533 0.141172
46.700000 4.460603 0.143170
46.800000 4.454433 0.145536
46.900000 4.448650 0.148275
47.000000 4.443131 0.151123
47.100000 4.437949 0.153880
47.200000 4.433287 0.156489
47.300000 4.428997 0.158971
47.400000 4.425460 0.161342
47.500000 4.422568 0.163522
47.600000 4.420582 0.165401
47.700000 4.419449 0.167162
47.800000 4.419286 0.168561
47.900000 4.419987 0.169660
48.000000 4.421493 0.170414
48.100000 4.423654 0.170672
48.200000 4.426525 0.170451
48.300000 4.430244 0.169680
48.400000 4.434698 0.168614
48.500000 4.439731 0.167304
48.600000 4.444868 0.165711
48.700000 4.449928 0.164056
48.800000 4.454624 0.162291
48.900000 4.459259 0.160518
49.000000 4.464177 0.158626
49.100000 4.469064 0.156547
49.200000 4.473882 0.154473
49.300000 4.478473 0.152246
49.400000 4.481978 0.149929
49.500000 4.484939 0.147804
49.600000 4.487351 0.145828
49.700000 4.489291 0.144063
49.800000 4.490879 0.142438
49.900000 4.492235 0.141115
50.000000 4.493216 0.139998
50.100000 4.493549 0.139142
50.200000 4.493132 0.138611
50.300000 4.492338 0.138388
50.400000 4.490951 0.138487
50.500000 4.488773 0.138683
50.600000 4.486020 0.138873
50.700000 4.482948 0.138910
50.800000 4.479522 0.138709
50.900000 4.475810 0.138482
51.000000 4.471756 0.138358
51.100000 4.467802 0.138079
51.200000 4.463372 0.137804
51.300000 4.458820 0.137433
51.400000 4.454331 0.136926
51.500000 4.449641 0.136470
51.600000 4.444794 0.136050
51.700000 4.439283 0.135927
51.800000 4.433389 0.135863
51.900000 4.427551 0.135859
52.000000 4.421381 0.135530
52.100000 4.415288 0.135160
52.200000 4.409903 0.134817
52.300000 4.404515 0.134370
52.400000 4.398975 0.133970
52.500000 4.393395 0.133554
52.600000 4.387974 0.133173
52.700000 4.383042 0.132842
52.800000 4.378708 0.132543
52.900000 4.374881 0.132121
53.000000 4.371599 0.131684
53.100000 4.368690 0.131209
53.200000 4.366338 0.130777
53.300000 4.364598 0.130401
53.400000 4.363388 0.130271
53.500000 4.362644 0.130353
53.600000 4.362500 0.130438
53.700000 4.363113 0.130581
53.800000 4.364146 0.130613
53.900000 4.365579 0.130591
54.000000 4.367688 0.130441
54.100000 4.370155 0.130157
54.200000 4.372671 0.129891
54.300000 4.375289 0.129690
54.400000 4.378070 0.129446
54.500000 4.381361 0.129089
54.600000 4.384639 0.128617
54.700000 4.387778 0.128133
54.800000 4.391027 0.127555
54.900000 4.394559 0.126995
55.000000 4.398408 0.126555
55.100000 4.402436 0.126142
55.200000 4.407005 0.125876
55.300000 4.411715 0.125615
55.400000 4.416735 0.125468
55.500000 4.421934 0.125428
55.600000 4.427202 0.125356
55.700000 4.432598 0.125168
55.800000 4.437875 0.124947
55.900000 4.442766 0.124825
56.000000 4.446977 0.124831
56.100000 4.450778 0.124836
56.200000 4.453191 0.124871
56.300000 4.454461 0.124888
56.400000 4.454449 0.125083
56.500000 4.453025 0.125558
56.600000 4.450640 0.126139
56.700000 4.446706 0.126861
56.800000 4.441823 0.127673
56.900000 4.435955 0.128539
57.000000 4.428950 0.129419
57.100000 4.421097 0.130181
57.200000 4.413072 0.130977
57.300000 4.405111 0.131731
57.400000 4.396929 0.132397
57.500000 4.388712 0.133052
57.600000 4.380470 0.133604
57.700000 4.372666 0.134155
57.800000 4.364952 0.134696
57.900000 4.357462 0.135295
58.000000 4.350520 0.135902
58.100000 4.343852 0.136440
58.200000 4.337502 0.137015
58.300000 4.331557 0.137606
58.400000 4.326083 0.138231
58.500000 4.321067 0.138908
58.600000 4.316322 0.139560
58.700000 4.311815 0.140166
58.800000 4.307618 0.140632
58.900000 4.304023 0.140943
59.000000 4.301425 0.141123
59.100000 4.300094 0.141210
59.200000 4.299817 0.141197
59.300000 4.300426 0.141088
59.400000 4.302798 0.140803
59.500000 4.306535 0.140380
59.600000 4.311128 0.139884
59.700000 4.317267 0.139046
59.800000 4.324396 0.137882
59.900000 4.332188 0.136577
60.000000 4.340599 0.135169
60.100000 4.349174 0.133668
60.200000 4.357843 0.132173
60.300000 4.366681 0.130641
60.400000 4.375366 0.129145
60.500000 4.383637 0.127731
60.600000 4.391787 0.126303
60.700000 4.400045 0.124868
60.800000 4.408506 0.123487
60.900000 4.416855 0.122237
61.000000 4.425431 0.121102
61.100000 4.434039 0.120086
61.200000 4.442364 0.119372
61.300000 4.450468 0.118878
61.400000 4.458910 0.118651
61.500000 4.467609 0.118742
61.600000 4.476576 0.118907
61.700000 4.485774 0.119369
61.800000 4.495184 0.119945
61.900000 4.504860 0.120547
62.000000 4.514843 0.121353
62.100000 4.525119 0.122168
62.200000 4.535692 0.122919
62.300000 4.546060 0.123298
62.400000 4.556264 0.123565
62.500000 4.565984 0.123621
62.600000 4.575213 0.123405
62.700000 4.584581 0.123090
62.800000 4.593786 0.122646
62.900000 4.602279 0.121948
63.000000 4.610344 0.120860
63.100000 4.617738 0.119564
63.200000 4.624179 0.118213
63.300000 4.629713 0.116743
63.400000 4.634518 0.115437
63.500000 4.638645 0.114086
63.600000 4.642271 0.112763
63.700000 4.645339 0.111564
63.800000 4.648144 0.110460
63.900000 4.650607 0.109425
64.000000 4.652676 0.108599
64.100000 4.654299 0.107900
64.200000 4.654894 0.107294
64.300000 4.655065 0.106665
64.400000 4.654801 0.106099
64.500000 4.653688 0.105643
64.600000 4.652403 0.105288
64.700000 4.651382 0.105082
64.800000 4.650619 0.104888
64.900000 4.649737 0.104833
65.000000 4.648733 0.104842
65.100000 4.647930 0.104773
65.200000 4.646834 0.104839
65.300000 4.645335 0.104894
65.400000 4.643525 0.104819
65.500000 4.641821 0.104778
65.600000 4.640061 0.104625
65.700000 4.638037 0.104319
65.800000 4.636112 0.103971
65.900000 4.634138 0.103670
