depth	age	error	dR	dSTD	cc
0.17	1.13	0.05	0	0.2	2
0.29	1.39	0.04	0	0.2	2
0.53	1.6	0.04	0	0.2	2
0.65	2.55	0.04	0	0.2	2
0.75	2.1	0.04	0	0.2	2
0.89	4.29	0.04	0	0.2	2
1.01	4.22	0.04	0	0.2	2
1.23	5.08	0.04	0	0.2	2
1.58	7.1	0.04	0	0.2	2
1.86	7.59	0.04	0	0.2	2
2.02	9.28	0.06	0	0.2	2
2.3	10.52	0.04	0	0.2	2
2.59	11.78	0.04	0	0.2	2
2.78	11.78	0.04	0	0.2	2
3.24	13.03	0.04	0	0.2	2
3.28	14.86	0.06	0	0.2	2
3.5	16.49	0.08	0	0.2	2
4.12	19.96	0.08	0	0.2	2
