depth	age	error	dR	dSTD	cc
0.06	1.18	0.03	0	0.2	2
0.7	7.61	0.04	0	0.2	2
1.35	8.21	0.05	0	0.2	2
2	9.69	0.06	0	0.2	2
3.6	11.63	0.05	0	0.2	2
4	12.84	0.07	0	0.2	2
5	13.49	0.07	0	0.2	2
6	14.63	0.08	0	0.2	2
6.65	16.06	0.08	0	0.2	2
7.05	20.39	0	0	0.2	2
7.35	21.84	0	0	0.2	2
8	25.79	0.05	0	0.2	2
