depth	age	unct	mode
17.1259	55.56	0.421	0
17.7587	59.3	0.456	0
19.877	71.63	0.414	0
20.0465	72.93	0.481	0
20.4744	76.75	0.629	0
21.3109	85	0.765	0
21.7739	87.35	0.854	0
22.035	90.67	0.968	0
22.9289	99.77	1.006	0
23.6209	105	0.9	0
23.9509	108.46	0.863	0
24.0766	110.24	1.123	0
25.7459	129.57	1.139	0
26.9204	136.09	0.934	0
27.6912	139.03	1.27	0


