depth	d18O
26.24	3.81
26.28	4.02
26.32	3.9
26.36	4.25
26.4	4.38
26.4	4.3
26.44	4.44
26.48	4.5
26.52	4.41
26.56	4.53
26.6	4.6
26.6	4.59
26.63	4.73
26.67	4.84
26.67	4.88
26.7	4.86
26.7	4.76
26.73	4.96
26.77	5.07
26.77	4.91
26.8	5.04
26.8	5.04
26.83	5.19
26.83	4.95
26.87	4.96
26.87	4.95
26.9	4.88
26.9	5.02
26.93	4.85
26.93	5.08
26.97	4.88
26.97	5.04
27	4.98
27	4.91
27.03	4.98
27.03	5.08
27.07	5.09
27.07	5.17
27.1	4.91
27.1	4.98
27.1	5.11
27.13	4.91
27.13	5.11
27.17	4.9
27.17	5.17
27.2	4.98
27.2	4.86
27.24	5.03
27.26	5.03
27.28	5.03
27.32	4.9
27.4	4.82
27.4	4.78
27.44	5.12
27.48	4.94
27.52	5.09
27.56	5.04
27.6	4.82
27.6	4.91
27.6	4.79
27.64	5
27.68	5.07
27.8	4.97
27.8	4.72
28	4.84
28	4.78
28.2	4.82
28.4	4.79
