depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.805000 26.227171 26.552928 26.942399 26.940271 27.325403 27.736599
3.855000 26.662264 27.017970 27.364939 27.370656 27.733913 28.072727
3.905000 27.271957 27.517022 27.791663 27.804850 28.110505 28.431238
3.953000 27.612275 27.879369 28.209569 28.223283 28.577451 28.939302
4.001000 27.936116 28.252726 28.625896 28.633367 29.020607 29.360890
4.049000 28.318221 28.682462 29.075183 29.042714 29.406537 29.643929
4.097000 28.758189 29.173059 29.495887 29.452852 29.717938 29.905272
4.145000 29.432827 29.685409 29.879665 29.857443 30.031212 30.192604
4.185000 29.694232 29.970819 30.155231 30.166484 30.377851 30.613023
4.225000 30.030146 30.246848 30.473843 30.484026 30.742586 30.988577
4.271667 30.288315 30.543609 30.881840 30.910993 31.281227 31.722019
4.318333 30.550264 30.874613 31.318254 31.344984 31.831338 32.280146
4.365000 30.839741 31.223844 31.768924 31.761738 32.258987 32.775409
4.411667 31.191946 31.634657 32.179300 32.170805 32.667671 33.154910
4.458333 31.598162 32.065222 32.611606 32.579379 33.071547 33.499131
4.505000 32.020718 32.479530 33.004521 32.975441 33.448034 33.798065
4.543750 32.337503 32.744724 33.294567 33.267604 33.756385 34.131744
4.582500 32.640214 33.008754 33.559391 33.545389 34.051515 34.424755
4.621250 32.907213 33.253744 33.845343 33.816083 34.351036 34.711816
4.660000 33.164897 33.507531 34.103655 34.081072 34.656938 34.973991
