depth(m) lower_95(kyr) median(kyr) upper_95(kyr)
0.030000 0.027046 0.396203 0.897129
0.055000 0.282027 0.592249 1.020915
0.105000 0.702799 1.112954 1.703306
0.130000 0.930802 1.319265 1.922382
0.205000 1.672583 2.231189 2.783842
0.230000 1.929360 2.457160 3.065048
0.255000 2.121243 2.687180 3.249834
0.280000 2.306029 2.907747 3.447637
0.305000 2.514931 3.149158 3.654548
0.330000 2.710615 3.365922 3.884661
0.355000 2.848657 3.577777 4.048971
0.380000 3.057561 3.801265 4.326288
0.455000 3.880013 4.473443 5.059645
0.480000 4.094324 4.719900 5.278420
0.505000 4.258264 4.933149 5.558691
0.530000 4.486145 5.129712 5.767456
0.555000 4.701768 5.329880 5.986483
0.580000 4.871790 5.575721 6.229364
0.605000 5.133582 5.776479 6.430518
0.630000 5.334062 5.976155 6.602091
0.655000 5.551707 6.167344 6.830066
0.680000 5.765436 6.366048 7.088943
0.705000 5.927713 6.575564 7.188036
0.730000 6.190250 6.777668 7.382835
0.755000 6.449337 7.004119 7.564310
0.780000 6.631763 7.209885 7.701085
0.805000 6.806349 7.429735 7.936614
0.830000 7.087409 7.669308 8.147735
0.855000 7.250312 7.922954 8.371240
0.880000 7.413317 8.176136 8.587014
0.905000 7.768397 8.429605 8.807540
0.930000 7.953455 8.613008 9.075024
0.955000 8.195683 8.835586 9.240127
0.980000 8.452229 9.059637 9.529635
1.005000 8.689348 9.250459 9.787758
1.055000 9.256535 9.670981 10.119184
1.080000 9.461442 9.886226 10.220744
1.105000 9.661686 10.078729 10.413606
1.130000 9.871894 10.281455 10.539917
1.155000 10.107623 10.433174 10.690730
1.180000 10.276760 10.565198 10.818705
1.205000 10.509204 10.698448 10.941755
1.230000 10.588687 10.827356 11.025014
1.255000 10.747154 10.939648 11.149482
1.280000 10.800366 11.028445 11.270485
1.305000 10.897930 11.129900 11.359371
1.330000 11.019792 11.237517 11.461048
1.355000 11.133468 11.343957 11.546507
1.380000 11.255967 11.455500 11.640575
1.405000 11.344559 11.554329 11.811569
1.430000 11.448302 11.654890 11.935669
1.455000 11.562817 11.772987 12.050577
1.480000 11.673072 11.910846 12.124452
1.505000 11.746410 12.020483 12.323808
1.530000 11.869483 12.119874 12.442236
1.555000 11.988696 12.233243 12.588671
1.580000 12.105060 12.344255 12.702809
1.605000 12.236995 12.478029 12.818569
1.630000 12.322481 12.592487 12.935369
1.655000 12.442230 12.713120 13.077257
1.680000 12.561386 12.840777 13.173860
1.705000 12.738666 12.992081 13.268535
1.730000 12.876818 13.128991 13.413846
1.755000 12.978011 13.248092 13.523538
1.780000 13.112999 13.353148 13.675119
