depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 0.029183 0.156421 0.357668 0.376491 0.572763 0.900689
0.530000 3.876919 4.297151 4.632489 4.629099 4.967880 5.342828
1.030000 7.487948 7.830540 8.113938 8.130296 8.417742 8.887898
1.480000 9.424867 9.828951 10.238206 10.237907 10.629077 11.110421
1.930000 12.837625 13.173966 13.453245 13.482969 13.777653 14.332799
2.280000 13.823369 14.239682 14.659177 14.653178 15.050040 15.497375
2.680000 18.591212 18.960642 19.280435 19.295126 19.632666 20.069921
2.980000 22.452645 22.913242 23.255417 23.255102 23.611940 24.050028
