age(kyr) mean(permil) sigma(permil)
21.200000 4.948815 0.108952
21.300000 4.947916 0.109796
21.400000 4.948209 0.110353
21.500000 4.949375 0.110486
21.600000 4.950793 0.110506
21.700000 4.952275 0.110274
21.800000 4.953613 0.110002
21.900000 4.954014 0.110218
22.000000 4.953739 0.110838
22.100000 4.952464 0.111648
22.200000 4.950682 0.112173
22.300000 4.948617 0.112269
22.400000 4.946374 0.112206
22.500000 4.943791 0.111999
22.600000 4.941153 0.112017
22.700000 4.938509 0.112234
22.800000 4.935455 0.112788
22.900000 4.931911 0.114102
23.000000 4.927701 0.116244
23.100000 4.922929 0.119004
23.200000 4.917987 0.121718
23.300000 4.913010 0.124083
23.400000 4.907319 0.125994
23.500000 4.900779 0.127067
23.600000 4.893790 0.126982
23.700000 4.886454 0.125825
23.800000 4.879369 0.123766
23.900000 4.873388 0.121285
24.000000 4.868826 0.119102
24.100000 4.866239 0.117808
24.200000 4.864927 0.117522
24.300000 4.864402 0.118285
24.400000 4.865311 0.120233
24.500000 4.867678 0.123066
24.600000 4.870798 0.126622
24.700000 4.874413 0.130344
24.800000 4.878251 0.133877
24.900000 4.881565 0.137007
25.000000 4.883494 0.139346
25.100000 4.883541 0.140591
25.200000 4.881929 0.140314
25.300000 4.878864 0.138636
25.400000 4.873784 0.135621
25.500000 4.867655 0.131648
25.600000 4.860369 0.127334
25.700000 4.852757 0.123137
25.800000 4.844810 0.119573
25.900000 4.836662 0.117163
26.000000 4.828200 0.115993
26.100000 4.820101 0.116342
26.200000 4.812157 0.117761
26.300000 4.804538 0.120089
26.400000 4.797234 0.123437
26.500000 4.790130 0.127481
26.600000 4.782994 0.131904
26.700000 4.775917 0.136253
26.800000 4.768632 0.140317
26.900000 4.761199 0.144227
27.000000 4.753467 0.147878
27.100000 4.745606 0.151249
27.200000 4.737573 0.154359
27.300000 4.729695 0.157422
27.400000 4.722244 0.160824
27.500000 4.715574 0.164718
27.600000 4.709469 0.169260
27.700000 4.703799 0.174290
27.800000 4.698626 0.179645
27.900000 4.693860 0.185216
28.000000 4.689384 0.190598
28.100000 4.685371 0.195288
28.200000 4.681556 0.198670
28.300000 4.677744 0.200435
28.400000 4.673802 0.200694
28.500000 4.669830 0.199676
28.600000 4.665751 0.197704
28.700000 4.661581 0.195046
28.800000 4.657614 0.192084
28.900000 4.654332 0.189236
29.000000 4.651496 0.186832
29.100000 4.649704 0.185131
29.200000 4.648868 0.184197
29.300000 4.648623 0.184096
29.400000 4.649490 0.184833
29.500000 4.651371 0.186261
29.600000 4.653964 0.188254
29.700000 4.656846 0.190510
29.800000 4.659790 0.192887
29.900000 4.662240 0.195369
30.000000 4.664187 0.198019
30.100000 4.664943 0.200915
30.200000 4.664837 0.204010
30.300000 4.664351 0.207280
30.400000 4.663557 0.210678
30.500000 4.662788 0.213958
30.600000 4.662241 0.216941
30.700000 4.661997 0.219418
30.800000 4.661945 0.221265
30.900000 4.662251 0.222487
31.000000 4.662687 0.222961
31.100000 4.663476 0.222675
31.200000 4.664243 0.221590
31.300000 4.665018 0.219760
31.400000 4.665305 0.217373
31.500000 4.665055 0.214510
31.600000 4.664685 0.211210
31.700000 4.664361 0.207371
31.800000 4.663736 0.203059
31.900000 4.662692 0.198488
32.000000 4.661396 0.193615
32.100000 4.659149 0.188572
32.200000 4.656540 0.183363
32.300000 4.653414 0.178174
32.400000 4.649798 0.173155
32.500000 4.645876 0.168370
32.600000 4.641873 0.163913
32.700000 4.637392 0.159653
32.800000 4.632595 0.155711
32.900000 4.627654 0.152254
33.000000 4.622502 0.149320
33.100000 4.616758 0.147038
33.200000 4.611007 0.145086
33.300000 4.605292 0.143595
33.400000 4.599305 0.142754
33.500000 4.592752 0.142473
33.600000 4.586358 0.142605
33.700000 4.579972 0.142962
33.800000 4.573780 0.143388
33.900000 4.568043 0.144295
34.000000 4.562571 0.145573
34.100000 4.557090 0.147231
34.200000 4.551608 0.149170
34.300000 4.546486 0.151302
34.400000 4.541978 0.153665
34.500000 4.538400 0.156286
34.600000 4.535678 0.159229
34.700000 4.533337 0.162327
