depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.372500 17.704728 17.799573 17.893663 17.905163 18.017316 18.145881
2.405000 17.855502 17.946574 18.044470 18.054934 18.160569 18.290094
2.420000 17.929512 18.024870 18.118734 18.129147 18.238149 18.368925
2.440000 18.034263 18.121189 18.221437 18.231891 18.342573 18.481338
2.465000 18.170339 18.245313 18.345287 18.359156 18.479988 18.615797
2.480000 18.235492 18.313439 18.413988 18.434170 18.559060 18.723885
2.500000 18.316708 18.410793 18.509700 18.531410 18.661624 18.818490
2.520000 18.403016 18.502381 18.607224 18.628189 18.764396 18.928126
2.565000 18.611016 18.701631 18.826322 18.844737 18.992048 19.173451
2.592500 18.733752 18.832941 18.973016 18.994883 19.153832 19.374003
2.620000 18.865008 18.971153 19.135225 19.156909 19.338685 19.565729
2.640000 18.951579 19.079876 19.258096 19.276384 19.475974 19.696593
2.660000 19.048556 19.189809 19.373652 19.393133 19.607361 19.798203
2.701667 19.258597 19.414288 19.610369 19.619375 19.830802 20.009574
2.743333 19.454026 19.633445 19.843648 19.837809 20.048700 20.203703
2.785000 19.649233 19.835677 20.046526 20.041751 20.241962 20.393044
2.822500 19.820514 20.004547 20.221152 20.210487 20.413135 20.551790
2.860000 19.985206 20.181267 20.397325 20.381971 20.581435 20.713331
2.865000 20.009537 20.205516 20.425470 20.407755 20.605552 20.732830
2.900000 20.186967 20.385563 20.602122 20.586647 20.777055 20.928746
2.940000 20.382263 20.584956 20.808045 20.790112 20.982513 21.135744
2.980000 20.575047 20.787958 21.013607 20.997778 21.186083 21.381067
3.020000 20.779629 21.003922 21.222319 21.207856 21.387102 21.594278
3.060000 21.023470 21.253668 21.441572 21.437347 21.609340 21.839732
3.065000 21.058367 21.289140 21.473360 21.470268 21.645839 21.869791
3.100000 21.288293 21.517526 21.695685 21.707058 21.912365 22.153842
3.120000 21.421355 21.649047 21.828288 21.854087 22.087986 22.329220
3.140000 21.534236 21.782947 21.977789 22.003928 22.257436 22.484508
3.145000 21.580000 21.818377 22.015014 22.040947 22.298155 22.521702
3.180000 21.783641 22.006100 22.244160 22.272154 22.558809 22.829287
3.220000 21.997440 22.216219 22.517953 22.532938 22.850817 23.181115
3.260000 22.227950 22.431381 22.783005 22.791555 23.156101 23.449212
3.300000 22.439292 22.670407 23.045457 23.063514 23.438620 23.743833
3.320000 22.601041 22.817521 23.197769 23.212986 23.605781 23.932919
3.340000 22.734978 22.996676 23.361576 23.369147 23.747223 24.054346
3.360000 22.908550 23.186577 23.525518 23.530942 23.864309 24.163294
3.400000 23.288189 23.557824 23.841349 23.846907 24.124499 24.417897
3.420000 23.479588 23.744239 24.000610 24.004279 24.263337 24.549812
3.440000 23.672676 23.917782 24.163695 24.159950 24.397180 24.652336
3.465000 23.870093 24.140732 24.367781 24.361881 24.597190 24.832648
3.480000 23.983373 24.247809 24.480716 24.478810 24.716334 24.958452
3.500000 24.093324 24.385209 24.631501 24.632212 24.885411 25.183516
3.520000 24.188205 24.503452 24.786991 24.788751 25.072816 25.413293
3.540000 24.290114 24.645528 24.957502 24.952085 25.243298 25.560667
3.580000 24.561010 24.930691 25.288558 25.268166 25.611767 25.882966
3.620000 24.824577 25.232955 25.588254 25.568230 25.906049 26.195026
3.660000 25.121580 25.538039 25.888146 25.857691 26.150831 26.456790
3.700000 25.506925 25.856966 26.179525 26.155403 26.443698 26.733587
3.705000 25.548647 25.900442 26.209692 26.194757 26.479605 26.767728
3.720000 25.673867 26.019475 26.322666 26.316835 26.620290 26.899099
3.750000 25.913342 26.255927 26.551037 26.554133 26.871962 27.137077
3.780000 26.167656 26.495138 26.789758 26.794076 27.118895 27.372733
3.810000 26.422038 26.729081 27.057963 27.042480 27.349273 27.602710
3.840000 26.721769 27.002460 27.317748 27.297809 27.571552 27.874123
3.860000 26.946194 27.196723 27.480017 27.467325 27.711035 28.057394
3.880000 27.117101 27.383754 27.633812 27.630263 27.861575 28.188443
3.900000 27.293375 27.570984 27.777861 27.789678 28.018227 28.350455
3.905000 27.342519 27.611188 27.817206 27.830943 28.062415 28.382492
3.940000 27.601457 27.868933 28.086733 28.117034 28.387000 28.731008
3.980000 27.896561 28.154981 28.439852 28.461742 28.796302 29.154382
4.020000 28.192897 28.475705 28.814008 28.820309 29.174457 29.497053
4.060000 28.507455 28.851861 29.187561 29.170540 29.494166 29.753192
4.100000 28.929661 29.284602 29.548876 29.521662 29.763087 29.972359
4.140000 29.464156 29.692490 29.888323 29.871820 30.036969 30.208239
4.145000 29.513801 29.736399 29.932328 29.913944 30.078105 30.247549
4.160000 29.638714 29.852972 30.049516 30.034513 30.204737 30.367635
4.200000 29.918876 30.142152 30.348602 30.349854 30.563623 30.797792
4.225000 30.093332 30.310288 30.551883 30.550325 30.792667 31.011693
4.240000 30.188199 30.410002 30.683359 30.681253 30.952462 31.173186
4.270000 30.368811 30.644960 30.961859 30.965602 31.278180 31.631064
4.300000 30.560866 30.877542 31.257865 31.253439 31.606926 31.971079
4.340000 30.828768 31.229149 31.647980 31.645414 32.052188 32.447563
4.380000 31.135520 31.605165 32.019741 32.016108 32.440259 32.828557
4.420000 31.501901 31.974177 32.404125 32.392942 32.796118 33.219490
4.460000 31.899624 32.396706 32.755200 32.749035 33.145985 33.538002
4.480000 32.031906 32.551612 32.935901 32.919157 33.312268 33.669887
4.500000 32.207442 32.719642 33.088207 33.077943 33.462951 33.803120
4.505000 32.266916 32.760275 33.125798 33.116695 33.490847 33.845536
4.520000 32.348799 32.842537 33.238744 33.222369 33.599940 33.941241
4.550000 32.542834 33.023597 33.437444 33.423801 33.840388 34.183721
4.580000 32.723452 33.214498 33.632289 33.621834 34.039483 34.417456
4.620000 33.008631 33.437089 33.898789 33.881554 34.313229 34.691610
4.660000 33.277807 33.662916 34.165893 34.152121 34.625286 34.988393
