Age(kyr) mean(permil) sigma(permil)
0	3.36	0.26
0.5	3.37	0.26
1	3.38	0.22
1.5	3.34	0.2
2	3.25	0.27
2.5	3.2	0.24
3	3.32	0.24
3.5	3.41	0.27
4	3.35	0.24
4.5	3.33	0.26
5	3.36	0.3
5.5	3.39	0.27
6	3.42	0.26
6.5	3.42	0.26
7	3.44	0.29
7.5	3.41	0.36
8	3.42	0.42
8.5	3.53	0.39
9	3.57	0.37
9.5	3.66	0.36
10	3.75	0.33
10.5	3.7	0.35
11	3.65	0.4
11.5	3.68	0.49
12	3.91	0.47
12.5	4.03	0.44
13	4.14	0.47
13.5	4.3	0.61
14	4.59	0.54
14.5	4.82	0.37
15	5.01	0.19
15.5	5.07	0.32
16	5.01	0.32
16.5	4.95	0.24
17	4.96	0.28
17.5	4.96	0.29
18	4.92	0.28
18.5	4.91	0.29
19	5.04	0.28
19.5	4.99	0.25
20	4.95	0.27
20.5	4.99	0.27
21	4.93	0.22
21.5	4.94	0.19
22	4.97	0.26
22.5	4.9	0.24
23	4.87	0.26
23.5	4.89	0.27
24	4.87	0.24
24.5	4.87	0.26
25	4.88	0.27
25.5	4.88	0.28
26	4.85	0.25
26.5	4.85	0.27
27	4.85	0.26
27.5	4.81	0.23
28	4.72	0.29
28.5	4.7	0.39
29	4.62	0.37
29.5	4.6	0.45
30	4.65	0.45
30.5	4.68	0.33
31	4.78	0.27
31.5	4.8	0.28
32	4.77	0.24
32.5	4.76	0.24
33	4.75	0.24
33.5	4.73	0.23
34	4.73	0.24
34.5	4.65	0.28
35	4.64	0.28
35.5	4.69	0.32
36	4.71	0.32
36.5	4.72	0.11
37	4.74	0.1
37.5	4.71	0.23
38	4.62	0.24
38.5	4.57	0.19
39	4.58	0.22
39.5	4.58	0.25
40	4.59	0.24
40.5	4.62	0.18
41	4.67	0.13
41.5	4.7	0.12
42	4.68	0.13
42.5	4.67	0.13
43	4.65	0.12
43.5	4.61	0.14
44	4.61	0.14
44.5	4.59	0.12
45	4.6	0.13
45.5	4.62	0.12
46	4.62	0.11
46.5	4.63	0.13
47	4.66	0.12
47.5	4.67	0.12
48	4.66	0.15
48.5	4.67	0.15
49	4.67	0.17
49.5	4.69	0.18
50	4.72	0.17
50.5	4.71	0.19
51	4.66	0.15
51.5	4.6	0.17
52	4.59	0.12
52.5	4.58	0.14
53	4.57	0.12
53.5	4.57	0.12
54	4.57	0.13
54.5	4.56	0.14
55	4.58	0.16
55.5	4.61	0.17
56	4.65	0.16
56.5	4.68	0.14
57	4.66	0.13
57.5	4.61	0.15
58	4.58	0.16
58.5	4.54	0.12
59	4.52	0.14
59.5	4.52	0.19
60	4.52	0.19
60.5	4.53	0.18
61	4.56	0.18
61.5	4.64	0.14
62	4.69	0.2
62.5	4.71	0.23
63	4.75	0.2
63.5	4.75	0.23
64	4.72	0.23
64.5	4.7	0.21
65	4.64	0.29
65.5	4.6	0.21
66	4.59	0.21
66.5	4.59	0.22
67	4.6	0.18
67.5	4.61	0.17
68	4.62	0.18
68.5	4.63	0.15
69	4.61	0.08
69.5	4.56	0.08
70	4.52	0.04
70.5	4.47	0.12
71	4.41	0.14
71.5	4.37	0.12
72	4.37	0.11
72.5	4.37	0.08
73	4.37	0.07
73.5	4.36	0.13
74	4.36	0.15
74.5	4.32	0.17
75	4.32	0.18
75.5	4.39	0.1
76	4.45	0.15
76.5	4.47	0.13
77	4.45	0.17
77.5	4.41	0.18
78	4.35	0.18
78.5	4.31	0.17
79	4.3	0.17
79.5	4.28	0.16
80	4.27	0.14
80.5	4.26	0.06
81	4.26	0.08
81.5	4.24	0.12
82	4.22	0.12
82.5	4.19	0.13
83	4.14	0.15
83.5	4.08	0.11
84	4.05	0.12
84.5	4.03	0.1
85	4.08	0.12
85.5	4.18	0.15
86	4.24	0.12
86.5	4.3	0.19
87	4.34	0.2
87.5	4.36	0.2
88	4.37	0.18
88.5	4.35	0.16
89	4.32	0.14
89.5	4.29	0.13
90	4.26	0.14
90.5	4.22	0.14
91	4.15	0.12
91.5	4.05	0.19
92	4.06	0.21
92.5	4.12	0.24
93	4.17	0.22
93.5	4.23	0.1
94	4.21	0.09
94.5	4.19	0.06
95	4.21	0.08
95.5	4.23	0.14
96	4.22	0.14
96.5	4.23	0.17
97	4.16	0.16
97.5	4.09	0.18
98	4.08	0.19
98.5	4.09	0.19
99	4.12	0.15
99.5	4.15	0.08
100	4.16	0.1
100.5	4.16	0.1
101	4.17	0.13
101.5	4.13	0.12
102	4.07	0.2
102.5	4.07	0.2
103	4.09	0.21
103.5	4.15	0.11
104	4.2	0.14
104.5	4.2	0.13
105	4.2	0.13
105.5	4.21	0.07
106	4.21	0.08
106.5	4.21	0.12
107	4.21	0.12
107.5	4.22	0.12
108	4.28	0.13
108.5	4.35	0.17
109	4.37	0.16
109.5	4.33	0.2
110	4.27	0.23
110.5	4.22	0.17
111	4.19	0.17
111.5	4.17	0.17
112	4.16	0.19
112.5	4.14	0.18
113	4.16	0.19
113.5	4.13	0.29
114	4.07	0.32
114.5	4.04	0.32
115	3.98	0.41
115.5	3.98	0.27
116	4.02	0.17
116.5	3.97	0.18
117	3.89	0.23
117.5	3.81	0.23
118	3.72	0.2
118.5	3.68	0.19
119	3.68	0.25
119.5	3.68	0.27
120	3.67	0.28
120.5	3.57	0.31
121	3.43	0.07
121.5	3.39	0.15
122	3.43	0.15
122.5	3.44	0.16
123	3.43	0.14
123.5	3.42	0.19
124	3.43	0.21
124.5	3.44	0.21
125	3.46	0.22
125.5	3.45	0.2
