depth	d18O
0.005	2.85
0.005	3.05
0.005	2.84
0.025	2.91
0.025	2.95
0.025	2.92
0.035	3.07
0.035	2.96
0.035	3
0.045	3.02
0.045	3.04
0.055	3.13
0.055	3.07
0.055	2.98
0.065	2.98
0.065	2.75
0.065	2.89
0.075	3
0.075	2.8
0.075	2.97
0.085	2.86
0.085	2.83
0.085	2.85
0.095	2.97
0.095	3.14
0.095	2.9
0.105	3.06
0.105	2.86
0.105	2.95
0.115	2.97
0.115	2.96
0.115	2.97
0.125	2.91
0.125	2.82
0.125	2.9
0.135	2.77
0.135	2.79
0.135	2.91
0.145	3.26
0.145	2.81
0.145	2.85
0.155	2.99
0.155	2.8
0.155	2.92
0.165	2.83
0.165	2.84
0.165	2.76
0.175	2.96
0.175	2.78
0.175	2.91
0.185	2.72
0.185	2.84
0.185	2.85
0.195	2.91
0.195	2.7
0.195	3
0.205	2.83
0.205	2.78
0.205	2.8
0.215	2.9
0.215	2.78
0.215	2.85
0.225	3.09
0.225	2.88
0.225	2.78
0.235	2.97
0.235	2.87
0.235	3.13
0.245	2.84
0.245	2.82
0.245	3.27
0.255	3
0.255	2.9
0.255	2.97
0.265	2.96
0.265	3.12
0.265	2.86
0.275	2.91
0.275	3.13
0.275	2.82
0.285	3.08
0.285	2.91
0.285	3.32
0.295	2.95
0.295	2.94
0.295	3.13
0.305	3.06
0.305	2.86
0.305	3.02
0.315	3.11
0.315	2.99
0.325	3.13
0.325	3.1
0.325	3.06
0.335	3.09
0.335	2.96
0.335	2.95
0.345	3.14
0.345	2.99
0.345	3.19
0.355	3.12
0.355	3.08
0.355	3.11
0.365	2.97
0.365	3.19
0.365	3.17
0.375	3.06
0.375	3.16
0.375	3.22
0.385	2.99
0.385	3.07
0.385	3.13
0.395	3.02
0.395	3.1
0.395	3
0.405	2.99
0.405	3.07
0.405	3.07
0.415	3.11
0.415	3.18
0.415	3.1
0.425	3.1
0.425	3.17
0.425	3.13
0.435	3.23
0.435	3.4
0.435	3.22
0.445	3.22
0.445	3.77
