0.01	3.11
0.01	3.24
0.01	3.18
0.01	3.31
0.01	3.2
0.01	3.46
0.03	3.22
0.03	3.22
0.03	3.17
0.03	3.18
0.07	3.2
0.07	3.19
0.1	3.31
0.1	3.5
0.1	3.47
0.1	3.41
0.1	3.46
0.1	3.49
0.13	3.66
0.13	3.5
0.13	3.33
0.17	3.45
0.17	3.53
0.17	3.18
0.17	3.14
0.2	3.53
0.2	3.42
0.2	4.06
0.2	3.38
0.23	3.42
0.23	3.32
0.27	5.03
0.27	3.97
0.3	3.5
0.3	3.51
0.37	3.18
0.37	3.19
0.37	3.3
0.37	3.17
0.4	4.23
0.4	3.24
0.4	4.84
0.4	3.42
0.43	4.02
0.47	5
0.47	4.94
0.47	4.1
0.5	4.1
0.5	4.19
0.53	4.34
0.53	4.57
0.57	4.81
0.57	4.42
0.6	5.05
0.63	3.15
0.63	3.27
0.63	3.19
0.63	3.29
0.67	5.01
0.67	5.02
0.7	5.11
0.7	5.03
0.7	4.87
0.7	4.85
0.73	5.38
0.73	5.05
0.77	5
0.77	5
0.8	5.08
0.8	5.07
0.8	5.14
0.8	5.05
0.8	5.09
0.83	5.01
0.83	4.96
0.87	4.98
0.9	4.68
0.93	5.05
0.93	4.93
0.97	5.12
1	5.15
1	5.11
1	5.12
1	5.04
1	5.09
1.03	5.02
1.03	4.92
1.03	5.06
1.03	5.06
1.07	4.99
1.07	4.95
1.07	4.91
1.07	4.93
1.1	4.89
1.1	5.02
1.1	4.76
1.1	5.06
1.1	4.99
1.13	4.93
1.13	5.01
1.13	5.01
1.17	5.13
1.17	4.9
1.2	4.94
1.2	4.92
1.2	5.1
1.23	4.98
1.23	4.9
1.27	4.96
1.27	5.15
1.3	4.73
1.33	4.73
1.33	5.06
1.37	4.97
1.37	4.76
1.37	4.84
1.37	4.81
1.4	4.84
1.4	4.93
1.4	5
1.4	4.51
1.4	4.84
1.43	4.9
1.47	4.76
1.47	4.9
1.47	4.76
1.5	4.93
1.5	4.79
1.5	4.78
1.5	4.93
1.52	4.78
1.52	4.81
1.52	4.9
1.54	4.65
1.54	4.76
1.54	4.91
1.56	4.8
1.56	4.71
1.56	4.72
1.58	4.86
1.58	4.78
1.58	4.74
1.6	4.64
1.6	4.78
1.6	4.61
1.6	4.65
1.62	4.74
1.62	4.57
1.62	4.81
1.64	4.67
1.64	4.74
1.64	4.69
1.66	4.77
1.66	4.81
1.66	4.71
1.68	4.63
1.68	4.62
1.68	4.85
1.7	4.4
1.7	4.61
1.7	4.79
1.7	4.6
1.72	4.57
1.72	4.66
1.72	4.63
1.74	4.7
1.74	4.51
1.74	4.67
1.76	4.67
1.76	4.8
1.76	4.68
1.78	4.75
1.78	4.66
1.78	4.62
1.8	4.87
1.8	4.44
1.8	4.51
1.8	4.68
1.8	4.62
1.8	4.55
1.82	4.64
1.82	4.86
1.82	4.75
1.84	4.73
1.84	4.52
1.84	4.6
1.86	4.68
1.86	4.65
1.86	4.66
1.88	4.63
1.88	4.42
1.88	4.61
1.9	4.85
1.9	4.81
1.9	4.5
1.9	4.43
1.92	4.65
1.92	4.57
1.94	4.77
1.94	4.4
1.94	4.67
1.96	4.72
1.96	4.46
1.96	4.68
1.98	4.6
1.98	4.74
1.98	4.54
2	4.52
2	4.58
2	4.56
2	4.54
2.02	4.67
2.02	4.47
2.02	4.41
2.04	4.64
2.04	4.57
2.04	4.52
2.06	4.66
2.06	4.71
2.06	4.59
2.08	4.6
2.08	4.62
2.08	4.6
2.1	4.43
2.1	4.71
2.1	4.48
2.1	4.62
2.12	4.6
2.12	4.71
2.12	4.8
2.14	4.66
2.14	4.67
2.14	4.66
2.16	4.62
2.16	4.73
2.16	4.73
2.2	4.61
2.2	4.65
2.2	4.62
2.2	4.8
2.22	4.53
2.22	4.64
2.22	4.55
2.24	4.8
2.24	4.68
2.24	4.56
2.26	4.58
2.26	4.52
2.26	4.73
2.28	4.59
2.28	4.54
2.28	4.74
2.3	4.69
2.3	4.54
2.3	4.52
2.3	4.44
